# Location,Grand Mesa
# Site,2S7
# PitID,COGM2S7_20200208
# Date/Time,2020-02-08-11:45
# UTM Zone,12N
# Easting [m],742605
# Northing [m],4322584
# Instrument,IS3-SP-11-01F
# Profile ID,N/A
# Operator,Carrie Vuyovich
# Timing,N/A
# Notes, N/A
# Total snow depth (cm), 80
#
# Sample signal (mV), Reflectance (%), Specific surface area (m^2/kg), Sample Top Height (cm), Deq (mm), Comments
297.3,36.44,22.60,80,0.2895,wind slab
295.7,36.26,22.30,75,0.2934,wind slab
311.5,38.07,24.60,70,0.2660
278.4,34.22,20.00,65,0.3272
284.4,34.93,20.80,60,0.3146
239.6,29.44,15.50,55,0.4221
221.1,27.04,13.70,50,0.4776
222.5,27.23,13.80,45,0.4741
221.3,27.07,13.70,40,0.4776
195.3,23.58,11.40,35,0.5740
183.6,21.95,10.30,30,0.6353
182.1,21.74,10.20,25,0.6415
183.7,21.97,10.30,20,0.6353
173.0,20.45,9.40,15,0.6961
175.1,20.75,9.60,10,0.6816
220.8,27.00,13.70,5,0.4776,grass in sample
