,height_min (cm),height_max (cm),height_ave (cm),SSA (m2/kg),Equiv. Diam (mm)
0,3.0,5.0,4.0,16.826521264994547,0.38885490009021434
1,5.0,7.0,6.0,13.513882224645583,0.4841743576418449
2,7.0,9.0,8.0,9.589498364231188,0.6823167382530645
3,9.0,11.0,10.0,9.584580152671755,0.6826668608474628
4,11.0,13.0,12.0,9.65557251908397,0.6776475690522873
5,13.0,15.0,14.0,9.705408942202835,0.674167908259231
6,14.5,16.5,15.5,9.446139585605234,0.6926718778680945
7,16.0,18.0,17.0,9.45784078516903,0.691814907227621
8,18.0,20.0,19.0,9.653282442748091,0.6778083293606234
9,18.0,20.0,19.0,9.783315158124317,0.6687993936218832
10,20.0,22.0,21.0,9.52835332606325,0.686695278969957
11,21.5,23.5,22.5,9.82473282442748,0.6659799673225829
12,22.5,24.5,23.5,10.838473282442747,0.6036897517627742
13,24.5,26.5,25.5,10.975605234460195,0.596147101284399
14,26.5,28.5,27.5,11.686444929116684,0.5598858579364286
15,28.5,30.5,29.5,10.629029443838602,0.6155853909275026
16,29.0,31.0,30.0,10.756444929116684,0.6082934732137969
17,31.0,33.0,32.0,10.578713195201745,0.6185133413327725
18,33.0,35.0,34.0,10.686804798255178,0.6122573930080207
19,33.0,35.0,34.0,10.374863685932388,0.6306661411115491
20,35.0,37.0,36.0,10.448069792802617,0.6262472758243501
21,36.0,38.0,37.0,10.288538713195202,0.6359576833757482
22,38.0,40.0,39.0,10.502399127589966,0.6230076733778439
23,40.0,42.0,41.0,9.827895310796075,0.665765663801655
24,42.0,44.0,43.0,9.742082878953108,0.6716300124587368
25,44.0,46.0,45.0,10.083762268266085,0.6488724219487586
26,46.0,48.0,47.0,9.863260632497274,0.6633785204668857
27,48.0,50.0,49.0,10.194067611777536,0.6418512702236638
28,48.0,50.0,49.0,10.13226826608506,0.6457660884548863
29,50.0,52.0,51.0,11.803336968375136,0.5543411378406196
30,52.0,54.0,53.0,12.208146128680479,0.5359597744323963
31,54.0,56.0,55.0,12.373336968375135,0.5288044172795657
32,56.0,58.0,57.0,12.267611777535441,0.5333617792948957
33,57.5,59.5,58.5,12.156303162486369,0.5382454812049163
34,59.5,61.5,60.5,12.176019629225735,0.5373739074516745
35,60.0,62.5,61.25,12.00381679389313,0.5450828980240745
36,60.0,62.0,61.0,13.07763358778626,0.5003256285966117
37,61.0,63.0,62.0,13.951112322791712,0.4690002556051393
38,63.0,65.0,64.0,15.932355507088332,0.4106784613520767
39,63.0,65.0,64.0,12.617295528898582,0.5185798517898783
40,65.0,67.0,66.0,14.271984732824427,0.4584558747681932
41,67.0,69.0,68.0,15.507600872410032,0.4219269827227933
42,69.0,71.0,70.0,16.040643402399127,0.40790603476583137
43,70.0,72.0,71.0,17.724809160305345,0.3691478529438003
44,72.0,74.0,73.0,18.67758996728462,0.35031689082082174
45,74.0,76.0,75.0,18.05547437295529,0.3623873352874064
46,76.0,78.0,77.0,18.84558342420938,0.34719409307116317
47,76.5,78.5,77.5,18.349498364231188,0.3565806059374237
48,77.0,79.0,78.0,18.425877862595417,0.35510249737668037
49,78.0,80.0,79.0,16.382082878953106,0.39940435497195187
50,80.0,82.0,81.0,17.41576881134133,0.37569832926952973
51,82.0,84.0,83.0,17.322693565976007,0.37771696534635707
52,84.0,86.0,85.0,18.242835332606326,0.35866547749135014
53,86.0,88.0,87.0,18.95112322791712,0.34526055087471763
54,88.0,90.0,89.0,19.235419847328245,0.34015765173298984
55,90.0,92.0,91.0,19.570621592148306,0.33433149859636496
56,92.0,94.0,93.0,19.235169029443835,0.3401620872345673
