# Exported by snowmicropyn 1.2.1 (git hash 25c665906cd9d26085fa9eab6ba842a7f4b41101)
distance [mm],force [N]
0.0000,4.6490
0.0041,0.0547
0.0083,0.0547
0.0124,0.0547
0.0165,0.0560
0.0207,0.0547
0.0248,0.0547
0.0289,0.0534
0.0331,0.0534
0.0372,0.0547
0.0413,0.0547
0.0455,0.0534
0.0496,0.0547
0.0537,0.0534
0.0579,0.0547
0.0620,0.0547
0.0661,0.0547
0.0702,0.0547
0.0744,0.0534
0.0785,0.0560
0.0826,0.0534
0.0868,0.0547
0.0909,0.0560
0.0950,0.0534
0.0992,0.0534
0.1033,0.0534
0.1074,0.0547
0.1116,0.0534
0.1157,0.0560
0.1198,0.0560
0.1240,0.0560
0.1281,0.0547
0.1322,0.0560
0.1364,0.0547
0.1405,0.0560
0.1446,0.0560
0.1488,0.0547
0.1529,0.0534
0.1570,0.0534
0.1612,0.0547
0.1653,0.0547
0.1694,0.0547
0.1736,0.0547
0.1777,0.0534
0.1818,0.0560
0.1860,0.0560
0.1901,0.0534
0.1942,0.0534
0.1983,0.0547
0.2025,0.0547
0.2066,0.0534
0.2107,0.0547
0.2149,0.0547
0.2190,0.0534
0.2231,0.0547
0.2273,0.0521
0.2314,0.0521
0.2355,0.0547
0.2397,0.0560
0.2438,0.0521
0.2479,0.0521
0.2521,0.0534
0.2562,0.0547
0.2603,0.0547
0.2645,0.0521
0.2686,0.0547
0.2727,0.0521
0.2769,0.0547
0.2810,0.0534
0.2851,0.0534
0.2893,0.0534
0.2934,0.0547
0.2975,0.0547
0.3017,0.0547
0.3058,0.0547
0.3099,0.0534
0.3140,0.0547
0.3182,0.0547
0.3223,0.0534
0.3264,0.0547
0.3306,0.0534
0.3347,0.0521
0.3388,0.0547
0.3430,0.0521
0.3471,0.0560
0.3512,0.0547
0.3554,0.0547
0.3595,0.0547
0.3636,0.0521
0.3678,0.0547
0.3719,0.0521
0.3760,0.0534
0.3802,0.0547
0.3843,0.0534
0.3884,0.0521
0.3926,0.0547
0.3967,0.0560
0.4008,0.0547
0.4050,0.0547
