distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.0547,7836.4750,0.0023,0.0061,0.1358,147.4019,38.6805
1.2500,0.0547,14890.2292,0.0012,0.0061,0.1097,142.6367,43.1550
2.5000,0.0534,298314.7505,0.0001,0.0064,0.0404,127.7217,62.4958
3.7500,0.0534,348226.9780,0.0000,0.0067,0.0383,127.3463,63.2844
5.0000,0.0547,435510.1686,0.0000,0.0061,0.0356,129.1464,63.4536
6.2500,0.0547,271377.2009,0.0001,0.0044,0.0417,130.2534,61.1311
7.5000,0.0534,175303.9762,0.0002,0.0039,0.0482,129.1698,59.6231
8.7500,0.0534,153511.2167,0.0002,0.0039,0.0504,129.5732,58.8675
10.0000,0.0534,147425.6364,0.0002,0.0039,0.0511,129.6997,58.6343
11.2500,0.0534,113871.8940,0.0002,0.0038,0.0557,130.5490,57.1137
12.5000,0.0534,103775.8049,0.0003,0.0037,0.0574,130.8726,56.5540
13.7500,0.0534,110571.4503,0.0003,0.0037,0.0562,130.6504,56.9371
15.0000,0.0534,102290.0955,0.0003,0.0036,0.0577,130.9238,56.4665
16.2500,0.0534,151304.3496,0.0002,0.0036,0.0506,129.6183,58.7842
17.5000,0.0534,320229.6102,0.0001,0.0039,0.0394,127.5473,62.8598
18.7500,0.0534,242044.0250,0.0001,0.0041,0.0433,128.2607,61.3961
20.0000,0.0534,201993.8626,0.0001,0.0045,0.0460,128.7583,60.4131
21.2500,0.0534,248814.5134,0.0001,0.0050,0.0429,128.1873,61.5435
22.5000,0.0534,263292.4192,0.0001,0.0065,0.0421,128.0392,61.8435
23.7500,0.0534,283655.7041,0.0001,0.0071,0.0411,127.8482,62.2343
25.0000,0.0534,314064.1091,0.0001,0.0059,0.0397,127.5947,62.7604
26.2500,0.0534,210554.6406,0.0001,0.0054,0.0453,128.6415,60.6412
27.5000,0.0534,189790.4828,0.0001,0.0050,0.0469,128.9369,60.0679
28.7500,0.0534,220298.6235,0.0001,0.0047,0.0447,128.5159,60.8881
30.0000,0.0534,189869.0534,0.0001,0.0046,0.0469,128.9357,60.0702
31.2500,0.0534,150045.8354,0.0002,0.0044,0.0508,129.6444,58.7360
32.5000,0.0534,125691.4690,0.0002,0.0046,0.0539,130.2155,57.7016
33.7500,0.0534,118127.4465,0.0002,0.0049,0.0550,130.4238,57.3330
35.0000,0.0534,126587.2141,0.0002,0.0052,0.0537,130.1920,57.7436
36.2500,0.0534,151984.5187,0.0001,0.0052,0.0506,129.6043,58.8100
37.5000,0.0534,222339.6374,0.0001,0.0048,0.0445,128.4905,60.9382
38.7500,0.0534,238005.9431,0.0001,0.0041,0.0435,128.3057,61.3059
40.0000,0.0534,143884.1203,0.0002,0.0043,0.0515,129.7766,58.4935
41.2500,0.0534,128038.8121,0.0002,0.0045,0.0535,130.1543,57.8109
42.5000,0.0534,135143.1214,0.0002,0.0050,0.0526,129.9777,58.1282
43.7500,0.0534,119407.7008,0.0002,0.0059,0.0548,130.3873,57.3973
45.0000,0.0534,100259.7885,0.0002,0.0066,0.0581,130.9953,56.3445
46.2500,0.0534,97998.0221,0.0002,0.0064,0.0585,131.0773,56.2053
47.5000,0.0534,97360.4829,0.0002,0.0064,0.0586,131.1009,56.1654
48.7500,0.0534,84220.9192,0.0002,0.0071,0.0615,131.6380,55.2711
50.0000,0.0534,69062.6028,0.0002,0.0072,0.0658,132.4165,54.0222
51.2500,0.0534,67147.5221,0.0002,0.0070,0.0664,132.5311,53.8430
52.5000,0.0534,58045.1699,0.0003,0.0063,0.0697,133.1420,52.9061
53.7500,0.0534,59550.8947,0.0003,0.0059,0.0691,133.0324,53.0718
55.0000,0.0534,82253.6899,0.0002,0.0056,0.0620,131.7281,55.1238
56.2500,0.0534,85493.5191,0.0002,0.0052,0.0612,131.5812,55.3643
57.5000,0.0534,98400.3926,0.0002,0.0048,0.0584,131.0625,56.2303
58.7500,0.0534,121501.0295,0.0002,0.0050,0.0545,130.3288,57.5006
60.0000,0.0521,131836.8982,0.0001,0.0057,0.0530,127.7438,58.7921
61.2500,0.0521,155318.6324,0.0001,0.0055,0.0502,127.2141,59.7680
62.5000,0.0521,154228.4151,0.0001,0.0066,0.0503,127.2363,59.7265
63.7500,0.0521,132304.0666,0.0001,0.0077,0.0529,127.7320,58.8134
65.0000,0.0534,109159.6555,0.0001,0.0079,0.0564,130.6950,56.8598
66.2500,0.0534,96890.7369,0.0001,0.0077,0.0587,131.1184,56.1358
67.5000,0.0521,110059.3048,0.0001,0.0076,0.0563,128.3616,57.6915
68.7500,0.0521,104235.2072,0.0001,0.0075,0.0573,128.5550,57.3550
70.0000,0.0534,100266.9758,0.0002,0.0065,0.0581,130.9950,56.3449
71.2500,0.0534,118262.3481,0.0001,0.0062,0.0550,130.4199,57.3398
72.5000,0.0521,91559.7402,0.0002,0.0061,0.0599,129.0308,56.5432
73.7500,0.0534,88985.0278,0.0002,0.0057,0.0604,131.4311,55.6124
75.0000,0.0534,142086.9622,0.0001,0.0054,0.0517,129.8166,58.4205
76.2500,0.0534,160487.1832,0.0001,0.0053,0.0496,129.4361,59.1221
77.5000,0.0534,145096.6596,0.0001,0.0055,0.0513,129.7500,58.5421
78.7500,0.0534,127792.9197,0.0002,0.0053,0.0536,130.1606,57.7995
80.0000,0.0521,138368.4633,0.0002,0.0050,0.0522,127.5845,59.0823
81.2500,0.0521,161560.5277,0.0001,0.0053,0.0495,127.0911,59.9992
82.5000,0.0534,169358.1782,0.0001,0.0060,0.0488,129.2729,59.4281
83.7500,0.0521,189139.2048,0.0001,0.0060,0.0470,126.6147,60.9107
85.0000,0.0521,222470.5897,0.0001,0.0057,0.0445,126.1496,61.8266
86.2500,0.0534,198145.0411,0.0001,0.0064,0.0463,128.8131,60.3069
87.5000,0.0521,184972.1822,0.0001,0.0075,0.0473,126.6806,60.7831
88.7500,0.0521,233316.0600,0.0001,0.0071,0.0438,126.0179,62.0908
90.0000,0.0521,223792.9389,0.0001,0.0068,0.0444,126.1331,61.8596
91.2500,0.0534,193221.8109,0.0001,0.0074,0.0467,128.8851,60.1675
92.5000,0.0521,170629.2932,0.0001,0.0078,0.0486,126.9232,60.3175
93.7500,0.0521,186900.9149,0.0001,0.0072,0.0472,126.6499,60.8426
95.0000,0.0534,196176.3719,0.0001,0.0074,0.0464,128.8416,60.2517
96.2500,0.0534,199155.7861,0.0001,0.0073,0.0462,128.7985,60.3350
97.5000,0.0534,211877.7931,0.0001,0.0071,0.0453,128.6240,60.6755
98.7500,0.0534,176410.5502,0.0001,0.0065,0.0481,129.1511,59.6586
100.0000,0.0534,127586.7550,0.0001,0.0066,0.0536,130.1660,57.7900
101.2500,0.0534,104118.7993,0.0002,0.0064,0.0573,130.8609,56.5740
102.5000,0.0534,91435.2360,0.0002,0.0062,0.0599,131.3303,55.7800
103.7500,0.0534,77846.1699,0.0002,0.0062,0.0632,131.9407,54.7791
105.0000,0.0534,76222.3548,0.0002,0.0063,0.0636,132.0231,54.6466
106.2500,0.0534,95605.4549,0.0002,0.0064,0.0590,131.1669,56.0541
