distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.0534,6282.9439,0.0028,0.0062,0.1462,147.2982,37.4969
1.2500,0.0534,12249.3701,0.0014,0.0062,0.1170,141.9021,42.2394
2.5000,0.0534,396922.3898,0.0000,0.0068,0.0367,127.0435,63.9346
3.7500,0.0534,295799.7802,0.0000,0.0075,0.0405,127.7428,62.4520
5.0000,0.0534,218151.9035,0.0001,0.0060,0.0448,128.5429,60.8348
6.2500,0.0534,185824.7110,0.0001,0.0048,0.0473,128.9982,59.9501
7.5000,0.0534,149911.1123,0.0002,0.0046,0.0508,129.6472,58.7308
8.7500,0.0534,126374.1996,0.0002,0.0049,0.0538,130.1976,57.7336
10.0000,0.0534,130458.3768,0.0002,0.0053,0.0532,130.0927,57.9211
11.2500,0.0534,136875.3790,0.0001,0.0053,0.0523,129.9365,58.2027
12.5000,0.0534,125192.5224,0.0002,0.0053,0.0539,130.2288,57.6781
13.7500,0.0534,109580.4327,0.0002,0.0052,0.0564,130.6817,56.8829
15.0000,0.0534,122470.4916,0.0002,0.0048,0.0543,130.3021,57.5478
16.2500,0.0534,149277.3585,0.0002,0.0043,0.0509,129.6605,58.7064
17.5000,0.0534,149199.4994,0.0002,0.0042,0.0509,129.6621,58.7034
18.7500,0.0534,138262.1145,0.0002,0.0047,0.0522,129.9040,58.2615
20.0000,0.0534,158164.0439,0.0001,0.0049,0.0499,129.4809,59.0388
21.2500,0.0534,189892.1272,0.0001,0.0048,0.0469,128.9353,60.0709
22.5000,0.0534,210785.9536,0.0001,0.0053,0.0453,128.6384,60.6473
23.7500,0.0534,328504.8037,0.0001,0.0062,0.0391,127.4855,62.9897
25.0000,0.0534,393473.3882,0.0000,0.0070,0.0368,127.0632,63.8918
26.2500,0.0534,333276.8473,0.0001,0.0062,0.0389,127.4508,63.0629
27.5000,0.0534,317652.5816,0.0001,0.0060,0.0395,127.5669,62.8186
28.7500,0.0534,294238.6095,0.0001,0.0051,0.0406,127.7560,62.4246
30.0000,0.0534,221695.2091,0.0001,0.0052,0.0446,128.4985,60.9225
31.2500,0.0534,213977.3100,0.0001,0.0051,0.0451,128.5965,60.7294
32.5000,0.0534,218596.8023,0.0001,0.0047,0.0448,128.5373,60.8459
33.7500,0.0534,182195.9855,0.0001,0.0048,0.0476,129.0559,59.8398
35.0000,0.0534,177826.8907,0.0001,0.0052,0.0480,129.1274,59.7036
36.2500,0.0534,233154.2033,0.0001,0.0054,0.0438,128.3612,61.1951
37.5000,0.0534,320244.0032,0.0001,0.0044,0.0394,127.5472,62.8601
38.7500,0.0534,182696.9526,0.0001,0.0039,0.0475,129.0478,59.8552
40.0000,0.0534,157249.1076,0.0002,0.0041,0.0500,129.4988,59.0055
41.2500,0.0534,171768.1441,0.0001,0.0047,0.0485,129.2305,59.5081
42.5000,0.0534,125113.1513,0.0002,0.0053,0.0539,130.2309,57.6743
43.7500,0.0534,111455.0263,0.0002,0.0059,0.0561,130.6229,56.9850
45.0000,0.0534,94986.8106,0.0002,0.0065,0.0591,131.1905,56.0143
46.2500,0.0534,86559.5568,0.0002,0.0071,0.0610,131.5345,55.4413
47.5000,0.0534,86828.9738,0.0002,0.0067,0.0609,131.5229,55.4605
48.7500,0.0534,80239.1691,0.0002,0.0067,0.0625,131.8233,54.9689
50.0000,0.0534,76906.0681,0.0002,0.0073,0.0634,131.9881,54.7027
51.2500,0.0534,71207.9375,0.0002,0.0073,0.0651,132.2931,54.2166
52.5000,0.0534,56720.3199,0.0003,0.0065,0.0702,133.2416,52.7563
53.7500,0.0534,55370.4631,0.0003,0.0064,0.0708,133.3463,52.5997
55.0000,0.0534,65648.5013,0.0003,0.0062,0.0669,132.6238,53.6987
56.2500,0.0534,80392.6888,0.0002,0.0055,0.0625,131.8159,54.9808
57.5000,0.0534,106927.3415,0.0002,0.0052,0.0568,130.7672,56.7351
