distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.0547,272006.4662,0.0001,0.0069,0.0416,130.2476,61.1430
1.2500,0.0547,290854.2006,0.0001,0.0069,0.0407,130.0801,61.4839
2.5000,0.0547,206112.0934,0.0001,0.0062,0.0457,130.9823,59.6894
3.7500,0.0547,135079.4686,0.0001,0.0068,0.0526,132.2405,57.3487
5.0000,0.0547,91271.0404,0.0002,0.0068,0.0599,133.5773,55.0475
6.2500,0.0547,77047.6938,0.0002,0.0062,0.0634,134.2113,54.0169
7.5000,0.0547,88553.5425,0.0002,0.0057,0.0605,133.6878,54.8651
8.7500,0.0547,73966.1880,0.0003,0.0056,0.0643,134.3695,53.7655
10.0000,0.0547,66712.3561,0.0003,0.0055,0.0665,134.7793,53.1246
11.2500,0.0547,66177.9404,0.0003,0.0055,0.0667,134.8118,53.0744
12.5000,0.0547,71513.8029,0.0003,0.0057,0.0650,134.5018,53.5570
13.7500,0.0547,105117.0310,0.0002,0.0055,0.0572,133.0754,55.8903
15.0000,0.0547,125670.1047,0.0002,0.0056,0.0539,132.4737,56.9340
16.2500,0.0547,117455.9238,0.0002,0.0055,0.0551,132.6973,56.5419
17.5000,0.0547,122437.4476,0.0002,0.0055,0.0543,132.5593,56.7833
18.7500,0.0547,125008.4624,0.0002,0.0057,0.0540,132.4910,56.9035
20.0000,0.0547,102761.8218,0.0002,0.0055,0.0576,133.1544,55.7561
21.2500,0.0547,75842.6446,0.0003,0.0056,0.0637,134.2722,53.9200
22.5000,0.0547,72370.6706,0.0003,0.0059,0.0647,134.4549,53.6307
23.7500,0.0547,94454.8209,0.0002,0.0063,0.0592,133.4533,55.2535
25.0000,0.0547,85651.1875,0.0002,0.0071,0.0612,133.8110,54.6633
26.2500,0.0547,98597.7593,0.0002,0.0068,0.0584,133.3000,55.5101
27.5000,0.0547,166790.8003,0.0001,0.0069,0.0490,131.5904,58.5356
28.7500,0.0547,206383.8812,0.0001,0.0077,0.0457,130.9786,59.6965
30.0000,0.0547,198647.4866,0.0001,0.0068,0.0462,131.0852,59.4911
31.2500,0.0547,148509.9714,0.0001,0.0072,0.0509,131.9426,57.8868
32.5000,0.0547,142420.3851,0.0001,0.0071,0.0517,132.0730,57.6500
33.7500,0.0547,140919.9580,0.0001,0.0056,0.0518,132.1063,57.5899
35.0000,0.0547,129019.9660,0.0001,0.0057,0.0534,132.3881,57.0856
36.2500,0.0547,155862.8965,0.0001,0.0064,0.0501,131.7943,58.1582
37.5000,0.0547,192543.2532,0.0001,0.0063,0.0467,131.1733,59.3224
38.7500,0.0547,160887.3273,0.0001,0.0067,0.0496,131.6983,58.3354
40.0000,0.0547,145643.8225,0.0001,0.0068,0.0513,132.0031,57.7768
41.2500,0.0547,170401.1642,0.0001,0.0066,0.0487,131.5269,58.6541
42.5000,0.0547,159687.2625,0.0001,0.0069,0.0497,131.7209,58.2937
43.7500,0.0547,146131.0411,0.0001,0.0066,0.0512,131.9927,57.7956
45.0000,0.0547,162657.2747,0.0001,0.0060,0.0494,131.6654,58.3963
46.2500,0.0547,193025.3318,0.0001,0.0061,0.0467,131.1662,59.3359
47.5000,0.0547,228887.3396,0.0001,0.0066,0.0441,130.6967,60.2465
48.7500,0.0547,286083.3934,0.0001,0.0070,0.0409,130.1211,61.4001
50.0000,0.0547,313657.7079,0.0000,0.0074,0.0397,129.8958,61.8632
51.2500,0.0547,265455.0339,0.0001,0.0082,0.0420,130.3095,61.0179
52.5000,0.0547,225278.4884,0.0001,0.0077,0.0443,130.7393,60.1626
53.7500,0.0547,228532.6091,0.0001,0.0066,0.0441,130.7008,60.2383
55.0000,0.0547,182822.3275,0.0001,0.0066,0.0475,131.3215,59.0405
56.2500,0.0547,143932.1556,0.0001,0.0069,0.0515,132.0400,57.7099
57.5000,0.0547,152781.9171,0.0001,0.0062,0.0505,131.8553,58.0463
58.7500,0.0547,151135.8488,0.0001,0.0057,0.0506,131.8886,57.9854
60.0000,0.0547,172429.4453,0.0001,0.0059,0.0485,131.4920,58.7193
61.2500,0.0547,193249.5564,0.0001,0.0065,0.0467,131.1629,59.3422
62.5000,0.0547,161821.7974,0.0001,0.0067,0.0495,131.6809,58.3676
63.7500,0.0547,149775.4869,0.0001,0.0059,0.0508,131.9164,57.9346
65.0000,0.0547,114483.3445,0.0002,0.0056,0.0556,132.7834,56.3923
66.2500,0.0547,95575.7837,0.0002,0.0060,0.0590,133.4110,55.3241
67.5000,0.0547,95375.0852,0.0002,0.0061,0.0590,133.4185,55.3116
68.7500,0.0547,95683.9743,0.0002,0.0058,0.0590,133.4069,55.3309
70.0000,0.0547,79723.4621,0.0002,0.0060,0.0627,134.0807,54.2263
71.2500,0.0547,97430.1683,0.0002,0.0060,0.0586,133.3423,55.4390
72.5000,0.0547,136455.6361,0.0001,0.0057,0.0524,132.2082,57.4066
73.7500,0.0547,160144.3920,0.0001,0.0060,0.0497,131.7122,58.3096
75.0000,0.0547,215984.7023,0.0001,0.0068,0.0450,130.8536,59.9393
76.2500,0.0547,201958.6572,0.0001,0.0065,0.0460,131.0389,59.5801
77.5000,0.0547,231815.1388,0.0001,0.0068,0.0439,130.6627,60.3134
78.7500,0.0547,234942.5522,0.0001,0.0073,0.0437,130.6271,60.3838
80.0000,0.0547,282719.6262,0.0001,0.0067,0.0411,130.1506,61.3400
81.2500,0.0547,264673.2782,0.0001,0.0068,0.0420,130.3170,61.0028
82.5000,0.0547,238210.7073,0.0001,0.0071,0.0435,130.5905,60.4562
83.7500,0.0547,268471.8590,0.0001,0.0071,0.0418,130.2807,61.0760
85.0000,0.0547,303836.5865,0.0001,0.0070,0.0401,129.9729,61.7040
86.2500,0.0547,296422.5288,0.0000,0.0076,0.0405,130.0334,61.5797
87.5000,0.0547,295943.4137,0.0000,0.0075,0.0405,130.0373,61.5715
88.7500,0.0547,242308.6061,0.0001,0.0082,0.0433,130.5455,60.5454
90.0000,0.0547,218620.5837,0.0001,0.0085,0.0448,130.8205,60.0037
91.2500,0.0547,285624.6014,0.0001,0.0074,0.0410,130.1251,61.3920
92.5000,0.0547,347630.0456,0.0000,0.0069,0.0384,129.6521,62.3719
93.7500,0.0547,348726.8921,0.0000,0.0071,0.0383,129.6448,62.3873
95.0000,0.0547,163987.4176,0.0001,0.0097,0.0493,131.6410,58.4416
96.2500,0.0547,48102.4328,0.0001,0.0159,0.0742,136.1748,51.0475
97.5000,0.0560,27995.1334,0.0002,0.0182,0.0888,140.9546,46.9438
98.7500,0.0560,9832.7332,0.0004,0.0295,0.1259,147.6047,39.8682
100.0000,0.0547,17676.4120,0.0003,0.0187,0.1036,141.5267,44.3407
101.2500,0.0547,62951.2213,0.0002,0.0087,0.0678,135.0159,52.7611
102.5000,0.0560,80934.8307,0.0002,0.0071,0.0624,136.2055,53.6437
103.7500,0.0560,98220.3097,0.0002,0.0068,0.0585,135.5065,54.7865
105.0000,0.0560,137815.8963,0.0001,0.0064,0.0522,134.3869,56.7173
106.2500,0.0560,184072.4687,0.0001,0.0061,0.0474,133.5255,58.2941
107.5000,0.0560,155632.6960,0.0001,0.0068,0.0502,134.0149,57.3881
108.7500,0.0560,175779.4665,0.0001,0.0068,0.0482,133.6572,58.0476
110.0000,0.0560,240751.7505,0.0001,0.0061,0.0434,132.7975,59.6938
111.2500,0.0560,265849.2020,0.0001,0.0061,0.0420,132.5446,60.1952
112.5000,0.0560,204428.6271,0.0001,0.0073,0.0458,133.2332,58.8483
113.7500,0.0560,88516.3237,0.0001,0.0089,0.0605,135.8765,54.1758
115.0000,0.0560,79931.5350,0.0002,0.0091,0.0626,136.2521,53.5691
116.2500,0.0560,114891.9205,0.0001,0.0093,0.0555,134.9726,55.6914
117.5000,0.0560,100930.8132,0.0001,0.0091,0.0579,135.4118,54.9449
118.7500,0.0560,103896.1067,0.0001,0.0094,0.0574,135.3120,55.1129
120.0000,0.0560,137913.7437,0.0001,0.0084,0.0522,134.3847,56.7213
121.2500,0.0560,94661.1281,0.0001,0.0094,0.0592,135.6363,54.5707
122.5000,0.0560,74501.9813,0.0001,0.0108,0.0641,136.5186,53.1465
123.7500,0.0560,29037.9676,0.0002,0.0161,0.0878,140.7615,47.1848
125.0000,0.0560,36170.3547,0.0003,0.0115,0.0816,139.6502,48.6190
126.2500,0.0560,108280.0253,0.0002,0.0065,0.0566,135.1711,55.3515
127.5000,0.0560,178873.1323,0.0001,0.0063,0.0479,133.6071,58.1411
128.7500,0.0560,183992.7692,0.0001,0.0073,0.0474,133.5267,58.2918
130.0000,0.0560,163192.5436,0.0001,0.0089,0.0494,133.8738,57.6465
131.2500,0.0560,150413.6103,0.0001,0.0094,0.0507,134.1178,57.2011
132.5000,0.0560,94934.3440,0.0001,0.0103,0.0591,135.6261,54.5876
133.7500,0.0560,121482.4194,0.0001,0.0097,0.0545,134.7892,56.0087
135.0000,0.0560,226367.6420,0.0001,0.0088,0.0443,132.9588,59.3780
136.2500,0.0560,178877.4450,0.0001,0.0087,0.0479,133.6070,58.1412
137.5000,0.0560,162455.8224,0.0001,0.0092,0.0494,133.8872,57.6220
138.7500,0.0560,139804.7724,0.0001,0.0099,0.0520,134.3423,56.7970
140.0000,0.0560,93823.9883,0.0001,0.0105,0.0594,135.6678,54.5186
141.2500,0.0560,90669.0472,0.0001,0.0101,0.0601,135.7899,54.3175
142.5000,0.0560,111475.4792,0.0001,0.0089,0.0561,135.0732,55.5186
143.7500,0.0560,93608.0536,0.0001,0.0095,0.0594,135.6760,54.5051
145.0000,0.0560,87573.6191,0.0001,0.0090,0.0608,135.9153,54.1124
146.2500,0.0560,95380.5539,0.0002,0.0076,0.0590,135.6096,54.6150
147.5000,0.0560,79005.2905,0.0002,0.0087,0.0629,136.2958,53.4993
148.7500,0.0560,59042.8582,0.0002,0.0111,0.0693,137.4454,51.7250
150.0000,0.0560,45071.4135,0.0002,0.0135,0.0758,138.6157,50.0308
151.2500,0.0560,60170.4591,0.0001,0.0126,0.0688,137.3673,51.8419
152.5000,0.0560,83267.6427,0.0001,0.0118,0.0618,136.1000,53.8132
153.7500,0.0560,94985.5372,0.0001,0.0124,0.0591,135.6242,54.5907
155.0000,0.0560,250178.5201,0.0001,0.0081,0.0428,132.6985,59.8890
156.2500,0.0560,118983.4546,0.0001,0.0110,0.0549,134.8571,55.8907
157.5000,0.0560,75979.6977,0.0001,0.0125,0.0637,136.4435,53.2648
158.7500,0.0572,45672.3444,0.0002,0.0137,0.0755,140.6531,49.5414
160.0000,0.0572,59919.8735,0.0001,0.0133,0.0689,139.4996,51.2077
161.2500,0.0572,155439.0412,0.0001,0.0093,0.0502,136.1848,56.6518
162.5000,0.0572,76558.6346,0.0001,0.0123,0.0635,138.5445,52.6705
163.7500,0.0572,46427.7135,0.0002,0.0146,0.0751,140.5804,49.6434
165.0000,0.0560,55962.1744,0.0002,0.0119,0.0705,137.6694,51.3923
166.2500,0.0560,74476.2903,0.0002,0.0101,0.0641,136.5199,53.1444
167.5000,0.0560,102205.0465,0.0001,0.0089,0.0577,135.3684,55.0178
168.7500,0.0560,209889.9239,0.0001,0.0068,0.0454,133.1614,58.9861
