distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.0534,22.5416,0.9331,0.0062,0.9550,296.9193,7.6659
1.2500,0.0534,37.2165,0.5161,0.0062,0.8080,269.7283,9.2574
2.5000,0.0534,8000.7454,0.0033,0.0041,0.1349,145.2048,39.2122
3.7500,0.0534,146341.1185,0.0001,0.0049,0.0512,129.7230,58.5916
5.0000,0.0534,104351.4022,0.0002,0.0053,0.0573,130.8530,56.5875
6.2500,0.0534,92624.1684,0.0002,0.0059,0.0596,131.2827,55.8596
7.5000,0.0534,95227.1439,0.0002,0.0061,0.0591,131.1813,56.0298
8.7500,0.0534,89707.5624,0.0002,0.0054,0.0603,131.4010,55.6624
10.0000,0.0534,76461.8863,0.0003,0.0051,0.0636,132.0108,54.6663
11.2500,0.0534,67818.9655,0.0003,0.0053,0.0662,132.4904,53.9065
12.5000,0.0534,50754.7731,0.0004,0.0055,0.0729,133.7317,52.0308
13.7500,0.0534,47013.4213,0.0004,0.0054,0.0747,134.0802,51.5264
15.0000,0.0534,47939.9105,0.0004,0.0052,0.0743,133.9906,51.6553
16.2500,0.0534,44559.3768,0.0005,0.0051,0.0761,134.3295,51.1713
17.5000,0.0534,41465.1247,0.0005,0.0048,0.0779,134.6713,50.6920
18.7500,0.0534,39129.1088,0.0006,0.0048,0.0795,134.9527,50.3037
20.0000,0.0534,42894.0591,0.0005,0.0049,0.0771,134.5094,50.9180
21.2500,0.0534,42075.5615,0.0005,0.0050,0.0776,134.6012,50.7895
22.5000,0.0534,54637.4924,0.0004,0.0054,0.0711,133.4046,52.5129
23.7500,0.0534,62845.1917,0.0003,0.0058,0.0679,132.8051,53.4189
25.0000,0.0534,58651.8037,0.0003,0.0056,0.0694,133.0974,52.9734
26.2500,0.0534,57420.4563,0.0003,0.0054,0.0699,133.1886,52.8360
27.5000,0.0534,38320.7724,0.0005,0.0055,0.0800,135.0554,50.1635
28.7500,0.0534,32123.4369,0.0006,0.0057,0.0849,135.9519,48.9697
30.0000,0.0534,35326.0465,0.0005,0.0057,0.0822,135.4624,49.6148
31.2500,0.0534,36624.0172,0.0005,0.0054,0.0812,135.2805,49.8585
32.5000,0.0534,37271.1969,0.0005,0.0054,0.0808,135.1930,49.9766
33.7500,0.0534,37952.5007,0.0005,0.0053,0.0803,135.1031,50.0985
35.0000,0.0534,39208.0067,0.0005,0.0053,0.0794,134.9428,50.3172
36.2500,0.0534,48280.1218,0.0004,0.0054,0.0741,133.9582,51.7020
37.5000,0.0534,48067.4981,0.0004,0.0053,0.0742,133.9784,51.6728
38.7500,0.0534,53090.2363,0.0004,0.0053,0.0718,133.5311,52.3254
40.0000,0.0534,66094.0107,0.0003,0.0052,0.0667,132.5960,53.7420
41.2500,0.0534,47862.4942,0.0004,0.0055,0.0743,133.9980,51.6447
42.5000,0.0534,45514.0018,0.0004,0.0053,0.0756,134.2304,51.3119
43.7500,0.0534,49188.3801,0.0005,0.0048,0.0736,133.8733,51.8247
45.0000,0.0534,58441.8277,0.0004,0.0047,0.0695,133.1128,52.9502
46.2500,0.0534,92615.3019,0.0002,0.0050,0.0596,131.2831,55.8590
47.5000,0.0534,105528.9441,0.0002,0.0057,0.0571,130.8134,56.6555
48.7500,0.0534,134283.1488,0.0001,0.0058,0.0527,129.9984,58.0908
50.0000,0.0547,155818.8592,0.0001,0.0063,0.0501,131.7952,58.1566
51.2500,0.0560,135848.9696,0.0001,0.0071,0.0525,134.4319,56.6372
52.5000,0.0585,109445.6230,0.0001,0.0071,0.0564,139.3862,54.0697
53.7500,0.0598,172604.8111,0.0001,0.0075,0.0485,140.0814,55.8122
55.0000,0.0610,192221.0940,0.0001,0.0067,0.0467,141.8268,55.6814
56.2500,0.0610,138531.6151,0.0001,0.0066,0.0521,142.7372,54.0533
57.5000,0.0623,136937.9185,0.0001,0.0066,0.0523,144.7533,53.3864
58.7500,0.0649,54476.7475,0.0003,0.0071,0.0712,151.6387,47.4940
60.0000,0.0687,52062.7356,0.0004,0.0062,0.0722,157.1703,45.9239
61.2500,0.0738,77318.3309,0.0003,0.0060,0.0633,162.5655,46.2371
62.5000,0.0788,54095.6124,0.0003,0.0086,0.0713,169.9911,43.1245
63.7500,0.0827,106569.9434,0.0001,0.0104,0.0569,172.5188,45.0265
65.0000,0.0827,158476.9835,0.0001,0.0092,0.0499,171.5876,46.5645
66.2500,0.0839,212635.5766,0.0001,0.0068,0.0452,172.4539,47.2599
67.5000,0.0839,126173.2077,0.0002,0.0060,0.0538,173.5724,45.3440
68.7500,0.0801,66832.2598,0.0003,0.0069,0.0665,170.8328,43.7436
70.0000,0.0788,111808.7255,0.0002,0.0057,0.0560,167.8781,46.3054
