distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
793.7500,0.9601,636.5955,0.0401,0.0764,0.3136,364.5411,10.8979
795.0000,0.9410,514.4269,0.0431,0.0858,0.3367,359.4938,10.6610
796.2500,0.9067,600.8793,0.0335,0.0899,0.3197,359.8872,10.9671
797.5000,0.9550,681.3773,0.0425,0.0670,0.3066,365.3536,11.0027
798.7500,1.1266,819.7473,0.0418,0.0653,0.2883,379.5319,10.7966
800.0000,1.1317,488.3717,0.0526,0.0865,0.3426,369.7898,10.1594
801.2500,0.9779,359.7904,0.0566,0.0969,0.3793,354.7375,10.0927
802.5000,0.9295,487.5705,0.0423,0.0905,0.3428,357.7608,10.6173
803.7500,0.9206,931.6502,0.0298,0.0669,0.2762,367.8175,11.5260
805.0000,0.8952,410.8873,0.0427,0.1025,0.3629,352.3176,10.4680
806.2500,0.8609,322.4715,0.0509,0.1050,0.3934,345.3954,10.2104
807.5000,0.7884,381.2710,0.0465,0.0883,0.3720,343.5904,10.6482
808.7500,0.6790,358.3443,0.0371,0.1043,0.3798,334.0634,10.8926
810.0000,0.7083,252.8094,0.0457,0.1236,0.4267,330.4407,10.2420
811.2500,0.7528,190.4918,0.0583,0.1386,0.4689,327.8132,9.6917
812.5000,0.7096,221.2344,0.0606,0.1109,0.4461,328.0407,10.0284
813.7500,0.7464,326.1809,0.0490,0.0951,0.3919,337.7786,10.5317
815.0000,0.7820,402.1987,0.0435,0.0915,0.3655,344.0464,10.7475
816.2500,0.7820,514.8482,0.0410,0.0743,0.3366,348.0942,11.1211
817.5000,0.8151,637.0720,0.0349,0.0726,0.3135,353.9984,11.3310
818.7500,0.8507,420.9006,0.0425,0.0942,0.3600,349.7703,10.6193
820.0000,0.9092,287.6535,0.0565,0.1122,0.4087,345.9690,9.9385
821.2500,0.9868,599.9162,0.0395,0.0840,0.3199,365.2552,10.7491
822.5000,1.0898,119.2354,0.1232,0.1643,0.5481,330.4119,8.5049
823.7500,1.7078,182.1879,0.1708,0.1076,0.4759,363.5734,8.3438
825.0000,2.0842,484.1519,0.0671,0.1268,0.3436,406.7603,8.8473
826.2500,1.8616,245.3776,0.1269,0.1205,0.4309,378.4671,8.4808
827.5000,1.2729,64.4188,0.2191,0.1788,0.6730,311.1413,7.6459
828.7500,0.8049,135.5532,0.0779,0.1604,0.5252,322.7812,9.0852
830.0000,0.7019,283.6239,0.0496,0.1014,0.4106,332.0221,10.4428
831.2500,0.6294,232.0355,0.0442,0.1287,0.4390,323.0394,10.3349
832.5000,0.6091,276.1235,0.0412,0.1098,0.4143,324.1383,10.6967
833.7500,0.5837,522.8069,0.0260,0.0859,0.3349,330.2251,11.9173
835.0000,0.4921,344.6439,0.0338,0.0872,0.3848,315.4690,11.5862
836.2500,0.4285,383.0518,0.0231,0.0988,0.3715,308.6383,12.1484
837.5000,0.4171,346.2698,0.0277,0.0879,0.3842,306.2689,12.0079
838.7500,0.4133,337.2826,0.0315,0.0770,0.3876,305.5422,11.9760
840.0000,0.3421,159.8423,0.0538,0.0814,0.4971,290.6624,10.7850
841.2500,0.2658,194.3977,0.0352,0.0795,0.4657,280.2962,11.7499
842.5000,0.2683,244.6191,0.0283,0.0793,0.4314,281.0979,12.3038
843.7500,0.2874,317.0479,0.0259,0.0723,0.3956,285.2211,12.7794
845.0000,0.2709,219.2074,0.0296,0.0855,0.4474,281.3833,12.0064
846.2500,0.2759,112.6093,0.0362,0.1384,0.5587,280.7274,10.3703
847.5000,0.3039,277.5137,0.0263,0.0849,0.4136,287.8103,12.3082
848.7500,0.3293,174.4978,0.0386,0.1010,0.4828,289.5692,11.0514
850.0000,0.3573,118.9801,0.0479,0.1260,0.5485,290.1783,10.0810
851.2500,0.3243,216.0811,0.0345,0.0886,0.4496,289.9975,11.5681
852.5000,0.3103,182.9999,0.0380,0.0928,0.4752,287.1593,11.2790
853.7500,0.3090,78.0977,0.0609,0.1379,0.6311,282.6578,9.4037
855.0000,0.3065,120.1219,0.0474,0.1116,0.5468,284.6940,10.3472
856.2500,0.3001,254.2344,0.0310,0.0786,0.4259,286.8530,12.1282
857.5000,0.2874,215.1527,0.0337,0.0826,0.4502,284.1899,11.8259
858.7500,0.2594,185.4426,0.0346,0.0849,0.4731,279.1333,11.6846
860.0000,0.2378,227.9523,0.0275,0.0786,0.4416,275.0767,12.4137
861.2500,0.2289,229.2010,0.0262,0.0781,0.4408,273.2016,12.5210
862.5000,0.2327,200.8337,0.0297,0.0797,0.4607,274.1450,12.1294
863.7500,0.2302,92.6281,0.0464,0.1131,0.5963,274.7178,10.1868
865.0000,0.1984,65.0956,0.0568,0.1242,0.6706,272.1591,9.5260
866.2500,0.1984,75.3844,0.0455,0.1266,0.6386,271.3262,9.8873
867.5000,0.1958,177.4098,0.0291,0.0789,0.4801,266.6310,12.1803
868.7500,0.1793,135.1349,0.0315,0.0882,0.5257,264.4685,11.5987
870.0000,0.1526,102.8494,0.0332,0.0983,0.5758,261.1097,11.1149
871.2500,0.1437,268.2565,0.0179,0.0617,0.4183,248.8932,14.2489
872.5000,0.1526,245.0711,0.0184,0.0683,0.4311,252.7457,13.7781
873.7500,0.1793,288.9590,0.0220,0.0592,0.4081,259.9668,13.8385
875.0000,0.1755,148.3950,0.0344,0.0730,0.5096,262.9745,11.9083
876.2500,0.1615,169.7748,0.0297,0.0683,0.4872,258.4521,12.4854
877.5000,0.1895,190.4328,0.0297,0.0695,0.4689,264.8149,12.4564
878.7500,0.1857,133.3427,0.0396,0.0766,0.5281,265.8996,11.4940
880.0000,0.1780,91.7765,0.0451,0.0976,0.5981,267.0239,10.5488
881.2500,0.1666,69.8024,0.0439,0.1238,0.6552,267.7249,9.9167
882.5000,0.1437,120.9938,0.0340,0.0764,0.5455,257.1680,11.7039
883.7500,0.1768,62.6054,0.0654,0.0970,0.6794,270.0615,9.5642
885.0000,0.2302,137.2222,0.0415,0.0859,0.5230,274.1316,11.1635
886.2500,0.2047,149.0461,0.0310,0.0910,0.5088,269.2374,11.6067
887.5000,0.2263,158.1776,0.0376,0.0778,0.4988,273.2353,11.5622
888.7500,0.2696,254.6300,0.0259,0.0805,0.4256,281.3991,12.3936
890.0000,0.2569,240.7032,0.0271,0.0790,0.4337,278.8969,12.3687
891.2500,0.2454,228.6339,0.0285,0.0776,0.4412,276.6230,12.3455
892.5000,0.2302,98.9671,0.0429,0.1146,0.5832,274.6136,10.3479
893.7500,0.1857,45.3893,0.0676,0.1357,0.7563,273.6688,8.7315
895.0000,0.1590,64.2914,0.0573,0.1004,0.6734,267.6049,9.7587
896.2500,0.2060,56.3617,0.0767,0.1057,0.7036,273.6674,9.1401
897.5000,0.2124,39.8447,0.0815,0.1456,0.7899,275.7224,8.3275
898.7500,0.2251,68.1014,0.0556,0.1275,0.6606,274.7319,9.4844
900.0000,0.2073,116.2791,0.0418,0.0919,0.5527,270.6500,10.9252
901.2500,0.1640,110.1106,0.0310,0.1023,0.5629,262.8405,11.1848
902.5000,0.1640,123.6030,0.0312,0.0901,0.5416,261.7972,11.5152
903.7500,0.1818,270.9882,0.0194,0.0707,0.4169,261.0365,13.6026
905.0000,0.1984,445.5818,0.0225,0.0405,0.3532,263.9012,14.8421
906.2500,0.2047,228.0827,0.0348,0.0539,0.4415,267.7444,12.7835
907.5000,0.1920,145.3661,0.0329,0.0864,0.5131,266.7471,11.6669
908.7500,0.1882,188.5344,0.0199,0.1030,0.4705,264.5583,12.4433
910.0000,0.1729,113.4263,0.0214,0.1473,0.5573,264.4158,11.1751
911.2500,0.1551,63.8961,0.0319,0.1669,0.6748,267.1749,9.7718
912.5000,0.1691,242.0739,0.0441,0.0349,0.4329,257.9938,13.4567
913.7500,0.1844,356.6936,0.0471,0.0238,0.3804,260.4856,14.4019
915.0000,0.1844,354.0289,0.0486,0.0234,0.3814,260.5188,14.3788
916.2500,0.1590,239.7261,0.0469,0.0315,0.4343,254.9648,13.5947
917.5000,0.1500,105.3449,0.0307,0.1025,0.5712,260.2856,11.2134
918.7500,0.1615,89.9481,0.0270,0.1395,0.6021,264.3042,10.6440
