distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.0547,23599.0889,0.0007,0.0063,0.0941,139.7945,46.3195
1.2500,0.0534,42030.1044,0.0004,0.0061,0.0776,134.6064,50.7823
2.5000,0.0534,99792.3506,0.0002,0.0065,0.0582,131.0121,56.3160
3.7500,0.0534,45194.5599,0.0003,0.0074,0.0757,134.2633,51.2652
5.0000,0.0534,41011.5867,0.0004,0.0067,0.0782,134.7243,50.6185
6.2500,0.0534,51499.5324,0.0003,0.0063,0.0725,133.6664,52.1263
7.5000,0.0534,56256.1196,0.0003,0.0059,0.0704,133.2772,52.7029
8.7500,0.0534,65984.4061,0.0003,0.0051,0.0668,132.6028,53.7314
10.0000,0.0534,69066.9271,0.0003,0.0049,0.0658,132.4163,54.0226
11.2500,0.0534,53442.4518,0.0004,0.0047,0.0716,133.5019,52.3686
12.5000,0.0534,43795.7171,0.0005,0.0046,0.0765,134.4109,51.0564
13.7500,0.0534,38406.6508,0.0006,0.0046,0.0800,135.0443,50.1785
15.0000,0.0534,37087.0438,0.0006,0.0048,0.0809,135.2177,49.9432
16.2500,0.0534,38214.0992,0.0006,0.0049,0.0801,135.0691,50.1447
17.5000,0.0534,45031.4703,0.0005,0.0049,0.0758,134.2802,51.2412
18.7500,0.0534,60124.1718,0.0004,0.0050,0.0689,132.9917,53.1337
20.0000,0.0534,71008.3887,0.0003,0.0055,0.0651,132.3044,54.1988
21.2500,0.0534,67788.3372,0.0003,0.0053,0.0662,132.4923,53.9036
22.5000,0.0534,64237.7130,0.0003,0.0054,0.0674,132.7138,53.5596
23.7500,0.0534,56436.2752,0.0003,0.0066,0.0703,133.2633,52.7237
25.0000,0.0534,45192.2173,0.0003,0.0070,0.0757,134.2635,51.2649
26.2500,0.0534,37926.3760,0.0004,0.0072,0.0803,135.1065,50.0939
27.5000,0.0534,36274.9684,0.0003,0.0085,0.0815,135.3286,49.7939
28.7500,0.0534,37921.0751,0.0003,0.0086,0.0803,135.1072,50.0930
30.0000,0.0534,52036.0044,0.0003,0.0066,0.0723,133.6202,52.1942
31.2500,0.0534,58307.7092,0.0003,0.0063,0.0696,133.1226,52.9353
32.5000,0.0521,63846.4524,0.0002,0.0077,0.0675,130.4669,54.2209
33.7500,0.0521,120487.5678,0.0001,0.0066,0.0546,128.0472,58.2466
35.0000,0.0521,117506.4945,0.0001,0.0063,0.0551,128.1332,58.0937
36.2500,0.0521,109844.5469,0.0001,0.0067,0.0563,128.3685,57.6795
37.5000,0.0521,123208.1952,0.0001,0.0067,0.0542,127.9710,58.3825
38.7500,0.0521,134685.3266,0.0001,0.0071,0.0526,127.6730,58.9206
40.0000,0.0521,133950.2067,0.0001,0.0067,0.0527,127.6911,58.8877
41.2500,0.0521,122586.4170,0.0001,0.0065,0.0543,127.9882,58.3518
42.5000,0.0521,95438.7043,0.0002,0.0070,0.0590,128.8763,56.8044
43.7500,0.0521,73879.8929,0.0002,0.0061,0.0643,129.8646,55.1723
45.0000,0.0521,66553.9699,0.0003,0.0055,0.0666,130.2926,54.4931
46.2500,0.0521,72343.6568,0.0003,0.0052,0.0647,129.9495,55.0362
47.5000,0.0521,92630.4246,0.0002,0.0052,0.0596,128.9873,56.6165
48.7500,0.0521,148072.2396,0.0001,0.0055,0.0510,127.3655,59.4858
50.0000,0.0521,179531.3055,0.0001,0.0060,0.0478,126.7696,60.6115
51.2500,0.0521,165919.4670,0.0001,0.0073,0.0491,127.0089,60.1546
52.5000,0.0521,134850.2183,0.0001,0.0071,0.0526,127.6690,58.9279
53.7500,0.0521,120931.2488,0.0001,0.0067,0.0546,128.0346,58.2690
55.0000,0.0521,96989.7944,0.0002,0.0057,0.0587,128.8168,56.9055
56.2500,0.0521,67434.2598,0.0003,0.0050,0.0663,130.2379,54.5790
57.5000,0.0521,58016.5757,0.0004,0.0046,0.0697,130.8783,53.5890
58.7500,0.0521,65275.3660,0.0004,0.0044,0.0670,130.3737,54.3661
60.0000,0.0521,74370.2973,0.0003,0.0046,0.0642,129.8380,55.2150
61.2500,0.0521,77144.2590,0.0003,0.0048,0.0634,129.6918,55.4512
62.5000,0.0521,83328.6961,0.0002,0.0052,0.0618,129.3895,55.9454
63.7500,0.0521,85149.0737,0.0002,0.0049,0.0613,129.3062,56.0832
65.0000,0.0521,75238.1417,0.0003,0.0044,0.0639,129.7915,55.2900
66.2500,0.0521,60806.0888,0.0004,0.0044,0.0686,130.6749,53.8997
67.5000,0.0521,59577.7858,0.0004,0.0043,0.0691,130.7629,53.7648
68.7500,0.0521,60931.2213,0.0004,0.0043,0.0686,130.6661,53.9132
70.0000,0.0521,48828.9758,0.0005,0.0041,0.0738,131.6529,52.4366
71.2500,0.0521,61427.1286,0.0004,0.0041,0.0684,130.6313,53.9667
72.5000,0.0521,75697.5595,0.0003,0.0042,0.0638,129.7671,55.3292
73.7500,0.0521,78148.4414,0.0003,0.0042,0.0631,129.6405,55.5344
75.0000,0.0521,122986.6740,0.0002,0.0049,0.0542,127.9772,58.3716
76.2500,0.0521,122924.7450,0.0002,0.0053,0.0543,127.9789,58.3685
77.5000,0.0521,126374.2060,0.0001,0.0057,0.0538,127.8852,58.5365
78.7500,0.0521,135125.0160,0.0001,0.0054,0.0526,127.6623,58.9402
80.0000,0.0521,132942.5936,0.0001,0.0053,0.0529,127.7161,58.8423
81.2500,0.0521,117424.2864,0.0002,0.0053,0.0551,128.1356,58.0894
82.5000,0.0521,126576.8111,0.0002,0.0054,0.0537,127.8799,58.5462
83.7500,0.0521,150940.7651,0.0001,0.0057,0.0507,127.3045,59.5994
85.0000,0.0521,166069.4048,0.0001,0.0064,0.0491,127.0061,60.1599
86.2500,0.0509,143145.8576,0.0001,0.0067,0.0516,125.0983,60.1455
87.5000,0.0521,137721.6027,0.0001,0.0066,0.0522,127.5998,59.0542
88.7500,0.0509,140515.9655,0.0001,0.0060,0.0519,125.1593,60.0320
90.0000,0.0521,131280.5083,0.0001,0.0054,0.0531,127.7578,58.7666
91.2500,0.0509,126434.6933,0.0002,0.0051,0.0538,125.5142,59.3806
92.5000,0.0509,102525.7124,0.0002,0.0047,0.0576,126.2568,58.0603
93.7500,0.0509,109710.7161,0.0002,0.0047,0.0564,126.0111,58.4908
95.0000,0.0509,139723.7270,0.0001,0.0052,0.0520,125.1780,59.9974
96.2500,0.0509,140176.8956,0.0001,0.0053,0.0519,125.1673,60.0172
97.5000,0.0509,130768.2184,0.0001,0.0054,0.0532,125.3996,59.5895
98.7500,0.0509,106959.2200,0.0002,0.0051,0.0568,126.1026,58.3298
100.0000,0.0509,89469.2945,0.0002,0.0051,0.0603,126.7679,57.1838
101.2500,0.0509,89794.4603,0.0002,0.0051,0.0602,126.7540,57.2073
102.5000,0.0509,84407.9280,0.0002,0.0052,0.0615,126.9936,56.8047
103.7500,0.0509,71790.1202,0.0002,0.0059,0.0649,127.6447,55.7379
105.0000,0.0509,79025.5448,0.0002,0.0060,0.0629,127.2543,56.3729
106.2500,0.0509,95716.5683,0.0002,0.0052,0.0590,126.5117,57.6199
107.5000,0.0509,88327.5531,0.0003,0.0046,0.0606,126.8173,57.1004
108.7500,0.0509,80122.4238,0.0003,0.0044,0.0626,127.1993,56.4635
110.0000,0.0509,83847.7156,0.0003,0.0047,0.0616,127.0197,56.7612
111.2500,0.0509,87885.0181,0.0002,0.0049,0.0607,126.8367,57.0678
112.5000,0.0509,87924.0837,0.0002,0.0051,0.0607,126.8350,57.0706
113.7500,0.0509,91750.9748,0.0002,0.0057,0.0598,126.6717,57.3469
115.0000,0.0509,74931.5722,0.0002,0.0076,0.0640,127.4690,56.0219
116.2500,0.0509,68506.6702,0.0002,0.0077,0.0659,127.8395,55.4259
117.5000,0.0509,74070.0381,0.0002,0.0066,0.0642,127.5162,55.9453
118.7500,0.0509,74834.7535,0.0002,0.0066,0.0640,127.4743,56.0133
120.0000,0.0509,87304.4505,0.0002,0.0061,0.0608,126.8623,57.0247
121.2500,0.0509,93646.9864,0.0002,0.0061,0.0594,126.5941,57.4790
122.5000,0.0509,79312.2670,0.0002,0.0071,0.0628,127.2398,56.3967
123.7500,0.0509,90345.1027,0.0001,0.0075,0.0601,126.7306,57.2469
125.0000,0.0509,100355.2429,0.0001,0.0092,0.0581,126.3355,57.9236
126.2500,0.0509,72088.9510,0.0001,0.0102,0.0648,127.6275,55.7655
127.5000,0.0509,70645.5339,0.0002,0.0095,0.0653,127.7112,55.6309
128.7500,0.0509,72596.9106,0.0002,0.0092,0.0647,127.5986,55.8121
130.0000,0.0509,74284.3567,0.0002,0.0088,0.0642,127.5044,55.9645
131.2500,0.0509,67030.6377,0.0002,0.0091,0.0664,127.9313,55.2803
132.5000,0.0509,50926.0272,0.0002,0.0107,0.0728,129.1473,53.4160
133.7500,0.0509,42581.3936,0.0002,0.0123,0.0773,130.0013,52.1770
135.0000,0.0509,49786.7327,0.0002,0.0108,0.0733,129.2525,53.2604
136.2500,0.0509,58135.9526,0.0002,0.0090,0.0696,128.5474,54.3204
137.5000,0.0509,59372.2463,0.0002,0.0089,0.0692,128.4545,54.4632
138.7500,0.0509,56473.4208,0.0002,0.0102,0.0703,128.6766,54.1232
140.0000,0.0496,45982.5710,0.0002,0.0120,0.0753,127.2650,53.4235
141.2500,0.0496,32618.3979,0.0002,0.0142,0.0844,129.0363,50.9545
142.5000,0.0509,28594.3272,0.0002,0.0148,0.0882,132.0948,49.3600
143.7500,0.0496,33901.5013,0.0002,0.0136,0.0834,128.8270,51.2348
145.0000,0.0496,54037.2479,0.0002,0.0108,0.0714,126.4999,54.5618
146.2500,0.0496,77155.8287,0.0001,0.0088,0.0634,124.9505,57.0146
147.5000,0.0496,55446.0154,0.0002,0.0101,0.0707,126.3817,54.7418
148.7500,0.0496,36590.8018,0.0002,0.0122,0.0813,128.4208,51.7874
150.0000,0.0496,39304.4938,0.0002,0.0104,0.0793,128.0494,52.3027
151.2500,0.0496,15944.8907,0.0005,0.0136,0.1072,133.4491,45.6564
152.5000,0.0496,10451.9060,0.0005,0.0181,0.1234,136.5921,42.4800
153.7500,0.0496,22152.6876,0.0003,0.0140,0.0961,131.2908,48.1101
155.0000,0.0496,26104.0905,0.0003,0.0124,0.0909,130.2988,49.3235
156.2500,0.0496,28774.1228,0.0003,0.0127,0.0880,129.7354,50.0390
157.5000,0.0509,37643.1002,0.0002,0.0117,0.0805,130.6199,51.3133
158.7500,0.0509,34599.2404,0.0003,0.0114,0.0828,131.0580,50.7180
160.0000,0.0496,44024.5948,0.0002,0.0102,0.0764,127.4784,53.1140
161.2500,0.0496,32425.7076,0.0002,0.0129,0.0846,129.0687,50.9114
162.5000,0.0496,28712.1642,0.0002,0.0149,0.0881,129.7477,50.0232
163.7500,0.0496,35158.0826,0.0002,0.0134,0.0824,128.6321,51.4986
165.0000,0.0496,32990.2338,0.0002,0.0128,0.0841,128.9745,51.0369
166.2500,0.0496,30416.3169,0.0003,0.0126,0.0864,129.4224,50.4450
167.5000,0.0496,33804.4028,0.0002,0.0120,0.0834,128.8425,51.2140
168.7500,0.0496,35943.5536,0.0002,0.0122,0.0817,128.5148,51.6585
170.0000,0.0496,32123.9166,0.0003,0.0123,0.0849,129.1199,50.8434
171.2500,0.0496,36915.3371,0.0002,0.0120,0.0810,128.3745,51.8511
172.5000,0.0496,33016.0339,0.0002,0.0129,0.0841,128.9703,51.0426
173.7500,0.0496,33427.3080,0.0002,0.0121,0.0837,128.9031,51.1326
175.0000,0.0496,29767.3086,0.0003,0.0125,0.0870,129.5433,50.2874
176.2500,0.0496,31723.0151,0.0003,0.0106,0.0852,129.1890,50.7519
177.5000,0.0496,32431.2524,0.0003,0.0103,0.0846,129.0677,50.9127
178.7500,0.0496,23724.6642,0.0003,0.0130,0.0939,130.8698,48.6180
180.0000,0.0496,26700.2147,0.0003,0.0117,0.0903,130.1665,49.4897
181.2500,0.0496,33662.3663,0.0003,0.0104,0.0836,128.8652,51.1835
182.5000,0.0496,48942.4822,0.0002,0.0095,0.0738,126.9644,53.8652
183.7500,0.0496,35800.4748,0.0002,0.0115,0.0819,128.5359,51.6296
185.0000,0.0496,14556.5280,0.0004,0.0185,0.1105,134.0901,44.9728
186.2500,0.0496,20580.4544,0.0003,0.0140,0.0984,131.7536,47.5631
187.5000,0.0496,52338.8723,0.0002,0.0085,0.0721,126.6480,54.3378
188.7500,0.0496,49197.8088,0.0002,0.0100,0.0736,126.9396,53.9020
190.0000,0.0496,33431.4574,0.0003,0.0113,0.0837,128.9024,51.1335
191.2500,0.0496,32278.8179,0.0003,0.0103,0.0847,129.0935,50.8784
192.5000,0.0496,38008.0047,0.0003,0.0099,0.0802,128.2224,52.0614
193.7500,0.0496,18558.6692,0.0003,0.0161,0.1019,132.4233,46.7923
195.0000,0.0496,16235.4024,0.0004,0.0164,0.1065,133.3243,45.7917
196.2500,0.0496,15006.0704,0.0004,0.0158,0.1094,133.8739,45.2011
197.5000,0.0483,13701.8664,0.0005,0.0154,0.1127,132.2198,45.0567
198.7500,0.0483,20286.7761,0.0004,0.0126,0.0989,129.4949,48.0598
200.0000,0.0483,20306.9740,0.0003,0.0142,0.0989,129.4885,48.0673
201.2500,0.0483,17197.9889,0.0003,0.0167,0.1045,130.5986,46.7990
202.5000,0.0496,23821.7461,0.0003,0.0136,0.0938,130.8451,48.6482
203.7500,0.0496,27058.0046,0.0003,0.0121,0.0899,130.0890,49.5876
205.0000,0.0496,16246.1193,0.0004,0.0158,0.1065,133.3198,45.7967
206.2500,0.0496,8802.4926,0.0005,0.0229,0.1307,138.0022,41.1868
207.5000,0.0496,8176.9219,0.0005,0.0242,0.1339,138.6327,40.6324
208.7500,0.0496,14398.3641,0.0004,0.0173,0.1109,134.1683,44.8907
210.0000,0.0483,25334.8694,0.0003,0.0142,0.0919,128.1029,49.7447
211.2500,0.0483,52984.7857,0.0001,0.0123,0.0718,124.1553,55.1955
212.5000,0.0483,43704.5935,0.0002,0.0128,0.0766,125.0938,53.7993
213.7500,0.0483,20054.9687,0.0003,0.0149,0.0993,129.5698,47.9722
215.0000,0.0483,20246.0115,0.0003,0.0145,0.0990,129.5080,48.0444
216.2500,0.0483,21257.6695,0.0003,0.0149,0.0974,129.1934,48.4154
217.5000,0.0483,23779.6433,0.0003,0.0137,0.0938,128.4893,49.2659
218.7500,0.0483,35403.9316,0.0002,0.0118,0.0822,126.1918,52.2490
220.0000,0.0483,27984.8289,0.0003,0.0132,0.0889,127.5124,50.4938
221.2500,0.0483,19586.1263,0.0004,0.0139,0.1001,129.7247,47.7920
222.5000,0.0483,11943.4254,0.0005,0.0158,0.1180,133.2609,44.0011
223.7500,0.0483,9465.2220,0.0007,0.0155,0.1275,135.1360,42.2133
225.0000,0.0483,13200.4752,0.0005,0.0133,0.1142,132.4977,44.7703
226.2500,0.0483,17061.1254,0.0004,0.0137,0.1048,130.6535,46.7379
227.5000,0.0483,20234.6631,0.0004,0.0119,0.0990,129.5116,48.0402
228.7500,0.0483,31580.4767,0.0003,0.0096,0.0854,126.8207,51.3990
230.0000,0.0483,28882.9455,0.0003,0.0109,0.0879,127.3289,50.7309
231.2500,0.0483,27472.4915,0.0003,0.0120,0.0894,127.6206,50.3550
232.5000,0.0483,24544.5914,0.0003,0.0112,0.0928,128.2952,49.5053
233.7500,0.0483,20731.8560,0.0004,0.0116,0.0982,129.3544,48.2249
235.0000,0.0483,20989.0923,0.0004,0.0129,0.0978,129.2750,48.3187
236.2500,0.0483,14701.4758,0.0004,0.0154,0.1101,131.7043,45.5972
237.5000,0.0483,14658.9197,0.0005,0.0126,0.1102,131.7253,45.5750
238.7500,0.0483,16607.7995,0.0005,0.0105,0.1057,130.8398,46.5318
240.0000,0.0483,21350.4735,0.0005,0.0092,0.0972,129.1656,48.4485
241.2500,0.0483,23231.6948,0.0005,0.0085,0.0945,128.6336,49.0893
242.5000,0.0470,12842.1127,0.0007,0.0103,0.1152,130.3446,45.1110
243.7500,0.0496,15202.1835,0.0008,0.0077,0.1089,133.7823,45.2986
245.0000,0.0483,24383.3268,0.0006,0.0065,0.0930,128.3354,49.4555
246.2500,0.0470,24348.8226,0.0005,0.0081,0.0931,125.9121,50.1098
247.5000,0.0470,13925.5906,0.0006,0.0114,0.1121,129.7297,45.7471
248.7500,0.0470,11207.4871,0.0005,0.0156,0.1206,131.4161,44.0415
250.0000,0.0521,9.7785,0.2552,0.1301,1.2616,354.8438,5.4252
251.2500,0.4718,31.4987,0.3680,0.0954,0.8542,276.0507,7.3932
252.5000,1.2703,12.7011,0.9101,0.2657,1.1563,214.9488,6.0892
253.7500,3.0913,24.1353,0.5098,0.4761,0.9335,249.8155,6.4084
255.0000,3.7093,216.5333,0.1020,0.3314,0.4493,407.0878,7.3808
256.2500,4.2891,189.0322,0.2570,0.1814,0.4701,406.8584,7.1321
257.5000,5.8227,400.6170,0.1717,0.1665,0.3660,460.6896,6.9530
258.7500,6.8209,685.4199,0.0815,0.2428,0.3060,494.0345,6.8089
260.0000,7.5126,1049.8388,0.0653,0.2207,0.2654,517.1453,6.6994
261.2500,8.3392,785.3662,0.0634,0.3328,0.2924,512.9729,6.4814
262.5000,8.4155,1488.4802,0.0406,0.2786,0.2363,537.6059,6.5184
263.7500,8.0785,1357.6032,0.0350,0.3387,0.2436,531.4740,6.5899
265.0000,7.9157,1167.8963,0.0388,0.3497,0.2562,524.7165,6.6137
266.2500,7.7148,427.8522,0.0760,0.4780,0.3580,480.3607,6.5407
267.5000,6.8590,301.3985,0.1448,0.3239,0.4024,455.5287,6.6545
268.7500,6.3720,751.4181,0.0441,0.3825,0.2967,493.2236,6.9456
270.0000,6.0541,944.7199,0.0362,0.3579,0.2749,498.2810,7.0881
271.2500,5.9562,1799.7761,0.0304,0.2188,0.2218,517.6788,7.2595
272.5000,5.9778,374.4826,0.0562,0.5748,0.3743,459.0008,6.8966
273.7500,6.3300,219.4647,0.1039,0.5591,0.4473,433.5554,6.6954
275.0000,7.5660,28.5068,0.2693,1.9640,0.8831,261.2218,6.1967
276.2500,7.6627,88.8909,0.1436,1.2326,0.6045,377.2651,6.3417
277.5000,7.6131,217.8872,0.1615,0.4510,0.4483,442.0192,6.4698
278.7500,9.4569,360.7755,0.1078,0.4745,0.3790,483.1341,6.2368
280.0000,10.1995,1465.9274,0.0391,0.3588,0.2375,551.2599,6.1501
281.2500,11.1698,1756.1411,0.0399,0.3199,0.2236,564.3725,5.9778
282.5000,12.0167,2714.0834,0.0217,0.4086,0.1934,584.1128,5.8215
