distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.0547,14.8583,1.5041,0.0062,1.0974,322.5340,6.4859
1.2500,0.0547,23.5141,0.8461,0.0062,0.9417,294.1759,7.7818
2.5000,0.0534,188490.8392,0.0001,0.0060,0.0471,128.9568,60.0296
3.7500,0.0534,110929.8904,0.0001,0.0071,0.0561,130.6392,56.9566
5.0000,0.0534,100022.8052,0.0002,0.0064,0.0581,131.0038,56.3301
6.2500,0.0534,94856.6717,0.0002,0.0061,0.0592,131.1955,56.0059
7.5000,0.0534,79262.6941,0.0002,0.0069,0.0628,131.8706,54.8922
8.7500,0.0534,69260.3910,0.0002,0.0069,0.0657,132.4049,54.0404
10.0000,0.0534,62268.8913,0.0003,0.0063,0.0681,132.8437,53.3596
11.2500,0.0534,61475.8193,0.0003,0.0058,0.0684,132.8976,53.2771
12.5000,0.0534,70118.5619,0.0003,0.0055,0.0654,132.3552,54.1187
13.7500,0.0534,91237.8681,0.0002,0.0050,0.0599,131.3383,55.7667
15.0000,0.0534,89287.5976,0.0002,0.0048,0.0604,131.4185,55.6334
16.2500,0.0534,83243.3269,0.0003,0.0051,0.0618,131.6824,55.1984
17.5000,0.0534,93570.6929,0.0002,0.0058,0.0594,131.2454,55.9221
18.7500,0.0534,115615.0136,0.0002,0.0059,0.0554,130.4970,57.2047
20.0000,0.0534,117638.0647,0.0002,0.0050,0.0551,130.4379,57.3083
21.2500,0.0534,78364.0148,0.0002,0.0057,0.0630,131.9149,54.8207
22.5000,0.0534,61156.2846,0.0002,0.0070,0.0685,132.9196,53.2435
23.7500,0.0534,79121.8598,0.0002,0.0065,0.0628,131.8775,54.8811
25.0000,0.0534,97854.9833,0.0002,0.0063,0.0585,131.0826,56.1964
26.2500,0.0534,101371.9699,0.0001,0.0071,0.0579,130.9559,56.4117
27.5000,0.0534,102056.9784,0.0001,0.0074,0.0577,130.9319,56.4526
28.7500,0.0534,134269.2501,0.0001,0.0067,0.0527,129.9987,58.0902
30.0000,0.0534,168924.9322,0.0001,0.0067,0.0488,129.2806,59.4136
31.2500,0.0534,163339.0872,0.0001,0.0077,0.0494,129.3824,59.2226
32.5000,0.0534,192150.5684,0.0001,0.0078,0.0468,128.9012,60.1366
33.7500,0.0534,211189.4314,0.0001,0.0080,0.0453,128.6330,60.6577
35.0000,0.0534,212034.1971,0.0001,0.0075,0.0452,128.6219,60.6796
36.2500,0.0534,196436.6512,0.0001,0.0078,0.0464,128.8378,60.2590
37.5000,0.0534,192938.3052,0.0001,0.0077,0.0467,128.8894,60.1594
38.7500,0.0534,235571.2445,0.0001,0.0073,0.0437,128.3333,61.2506
40.0000,0.0534,241001.6218,0.0001,0.0076,0.0434,128.2722,61.3730
41.2500,0.0534,228878.8369,0.0001,0.0072,0.0441,128.4113,61.0952
42.5000,0.0534,250500.5325,0.0001,0.0069,0.0428,128.1695,61.5794
43.7500,0.0534,234184.7750,0.0001,0.0073,0.0438,128.3493,61.2189
45.0000,0.0534,155559.0712,0.0001,0.0075,0.0502,129.5321,58.9436
46.2500,0.0534,86929.7373,0.0001,0.0086,0.0609,131.5185,55.4677
47.5000,0.0521,64555.2123,0.0002,0.0100,0.0673,130.4203,54.2934
48.7500,0.0521,82180.3246,0.0001,0.0089,0.0621,129.4434,55.8568
50.0000,0.0521,122160.1686,0.0001,0.0072,0.0544,128.0001,58.3306
51.2500,0.0521,156468.9998,0.0001,0.0066,0.0501,127.1910,59.8114
52.5000,0.0534,144546.2982,0.0001,0.0064,0.0514,129.7620,58.5201
53.7500,0.0534,145887.6275,0.0001,0.0063,0.0512,129.7328,58.5736
55.0000,0.0534,122346.6022,0.0001,0.0072,0.0543,130.3055,57.5418
56.2500,0.0521,110111.7141,0.0001,0.0071,0.0563,128.3599,57.6945
57.5000,0.0521,133129.3908,0.0001,0.0064,0.0528,127.7114,58.8508
58.7500,0.0521,139128.1089,0.0001,0.0064,0.0521,127.5666,59.1150
60.0000,0.0521,148282.5589,0.0001,0.0061,0.0510,127.3610,59.4942
61.2500,0.0521,156981.0530,0.0001,0.0061,0.0500,127.1807,59.8306
62.5000,0.0521,171547.9707,0.0001,0.0064,0.0486,126.9068,60.3486
63.7500,0.0521,186896.6278,0.0001,0.0067,0.0472,126.6499,60.8424
65.0000,0.0521,194785.3274,0.0001,0.0070,0.0465,126.5286,61.0784
66.2500,0.0521,194409.9598,0.0001,0.0070,0.0466,126.5342,61.0674
67.5000,0.0521,167076.5127,0.0001,0.0066,0.0490,126.9875,60.1951
68.7500,0.0521,132745.5077,0.0001,0.0057,0.0529,127.7210,58.8334
70.0000,0.0521,92495.8744,0.0002,0.0049,0.0597,128.9927,56.6074
71.2500,0.0521,97155.9669,0.0002,0.0052,0.0587,128.8106,56.9162
72.5000,0.0521,110133.7228,0.0002,0.0059,0.0563,128.3592,57.6957
73.7500,0.0521,128591.1156,0.0001,0.0055,0.0534,127.8269,58.6417
75.0000,0.0521,184579.0744,0.0001,0.0056,0.0474,126.6869,60.7709
76.2500,0.0521,169655.0921,0.0001,0.0062,0.0487,126.9406,60.2842
77.5000,0.0521,176081.5135,0.0001,0.0067,0.0481,126.8279,60.4996
78.7500,0.0521,179966.2807,0.0001,0.0066,0.0478,126.7623,60.6255
80.0000,0.0521,155499.2451,0.0001,0.0065,0.0502,127.2105,59.7748
81.2500,0.0521,165055.4558,0.0001,0.0060,0.0492,127.0249,60.1242
82.5000,0.0521,196894.8969,0.0001,0.0063,0.0464,126.4972,61.1396
83.7500,0.0521,236342.8496,0.0001,0.0072,0.0436,125.9826,62.1620
85.0000,0.0521,267124.4004,0.0001,0.0076,0.0419,125.6548,62.8307
86.2500,0.0521,194248.0965,0.0001,0.0075,0.0466,126.5366,61.0627
87.5000,0.0521,186905.5254,0.0001,0.0067,0.0472,126.6498,60.8427
88.7500,0.0521,228442.5093,0.0001,0.0065,0.0441,126.0761,61.9739
90.0000,0.0521,207751.8104,0.0001,0.0063,0.0456,126.3427,61.4432
91.2500,0.0521,197011.2994,0.0001,0.0064,0.0464,126.4955,61.1430
92.5000,0.0521,189481.7829,0.0001,0.0072,0.0470,126.6094,60.9210
93.7500,0.0521,180231.5770,0.0001,0.0074,0.0478,126.7579,60.6339
95.0000,0.0521,177887.8839,0.0001,0.0072,0.0480,126.7971,60.5585
96.2500,0.0521,136472.8148,0.0001,0.0082,0.0524,127.6297,58.9997
97.5000,0.0521,132093.0099,0.0001,0.0083,0.0530,127.7373,58.8037
98.7500,0.0521,135362.6959,0.0001,0.0073,0.0525,127.6565,58.9507
100.0000,0.0521,114849.5707,0.0001,0.0068,0.0555,128.2124,57.9536
101.2500,0.0521,114323.1991,0.0001,0.0066,0.0556,128.2284,57.9254
102.5000,0.0521,133416.0607,0.0001,0.0065,0.0528,127.7043,58.8637
103.7500,0.0521,128155.7260,0.0001,0.0071,0.0535,127.8382,58.6212
105.0000,0.0521,123875.1690,0.0001,0.0073,0.0541,127.9527,58.4153
106.2500,0.0521,150211.2060,0.0001,0.0072,0.0508,127.3198,59.5707
107.5000,0.0521,132659.3230,0.0001,0.0086,0.0529,127.7231,58.8295
108.7500,0.0521,130314.6255,0.0001,0.0077,0.0532,127.7824,58.7221
110.0000,0.0521,147407.3442,0.0001,0.0069,0.0511,127.3799,59.4592
111.2500,0.0521,147923.7751,0.0001,0.0070,0.0510,127.3687,59.4799
112.5000,0.0521,146976.8059,0.0001,0.0068,0.0511,127.3893,59.4418
113.7500,0.0521,151126.3026,0.0001,0.0066,0.0506,127.3006,59.6066
115.0000,0.0521,138737.7021,0.0001,0.0070,0.0521,127.5758,59.0982
116.2500,0.0521,119696.7181,0.0001,0.0076,0.0547,128.0697,58.2065
117.5000,0.0521,104301.5985,0.0001,0.0081,0.0573,128.5528,57.3590
118.7500,0.0521,108263.3761,0.0001,0.0085,0.0566,128.4198,57.5899
120.0000,0.0521,134609.8347,0.0001,0.0084,0.0526,127.6749,58.9172
121.2500,0.0521,124911.3625,0.0001,0.0088,0.0540,127.9245,58.4659
122.5000,0.0521,107738.2017,0.0001,0.0093,0.0567,128.4370,57.5599
123.7500,0.0521,135803.4459,0.0001,0.0088,0.0525,127.6458,58.9702
125.0000,0.0521,165775.2678,0.0001,0.0084,0.0491,127.0115,60.1496
126.2500,0.0521,139523.0442,0.0001,0.0082,0.0520,127.5574,59.1320
127.5000,0.0521,126175.3951,0.0001,0.0082,0.0538,127.8905,58.5269
128.7500,0.0521,97671.4885,0.0001,0.0095,0.0586,128.7911,56.9494
130.0000,0.0521,83930.1306,0.0001,0.0108,0.0616,129.3618,55.9913
131.2500,0.0521,97371.5793,0.0001,0.0105,0.0586,128.8024,56.9301
132.5000,0.0521,128935.6663,0.0001,0.0098,0.0534,127.8179,58.6578
133.7500,0.0521,147462.5063,0.0001,0.0102,0.0511,127.3787,59.4614
135.0000,0.0521,159323.6683,0.0001,0.0090,0.0498,127.1345,59.9175
136.2500,0.0521,113385.7662,0.0001,0.0089,0.0557,128.2571,57.8748
137.5000,0.0521,90787.8855,0.0001,0.0095,0.0600,129.0626,56.4898
138.7500,0.0521,99663.0503,0.0001,0.0101,0.0582,128.7173,57.0756
140.0000,0.0521,69737.9715,0.0001,0.0118,0.0655,130.0992,54.7980
141.2500,0.0521,52733.8514,0.0002,0.0129,0.0719,131.3017,52.9531
142.5000,0.0521,63521.1150,0.0001,0.0129,0.0676,130.4886,54.1873
143.7500,0.0521,103542.2742,0.0001,0.0109,0.0575,128.5790,57.3136
145.0000,0.0521,89226.2808,0.0001,0.0108,0.0604,129.1280,56.3800
146.2500,0.0521,71656.1333,0.0001,0.0113,0.0650,129.9883,54.9743
147.5000,0.0521,81674.8239,0.0001,0.0093,0.0622,129.4674,55.8174
148.7500,0.0521,67857.7799,0.0002,0.0095,0.0661,130.2119,54.6198
150.0000,0.0521,73279.0247,0.0002,0.0092,0.0645,129.8976,55.1194
151.2500,0.0521,84233.3847,0.0002,0.0082,0.0615,129.3478,56.0143
152.5000,0.0521,75315.2706,0.0002,0.0092,0.0639,129.7874,55.2966
153.7500,0.0521,88363.9441,0.0001,0.0095,0.0606,129.1648,56.3185
155.0000,0.0521,73384.6029,0.0001,0.0103,0.0644,129.8917,55.1287
156.2500,0.0521,64227.5602,0.0002,0.0107,0.0674,130.4418,54.2600
157.5000,0.0521,71272.4118,0.0001,0.0104,0.0651,130.0102,54.9394
