distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.0534,20.8541,1.0579,0.0061,0.9801,301.5613,7.4363
1.2500,0.0534,34.1297,0.5862,0.0060,0.8317,274.1054,8.9683
2.5000,0.0534,13751.3775,0.0016,0.0049,0.1126,141.0833,43.0592
3.7500,0.0534,162039.0704,0.0001,0.0050,0.0495,129.4067,59.1770
5.0000,0.0534,105915.0758,0.0002,0.0052,0.0570,130.8006,56.6776
6.2500,0.0534,81964.7170,0.0002,0.0061,0.0621,131.7415,55.1019
7.5000,0.0547,85534.3781,0.0002,0.0065,0.0612,133.8161,54.6550
8.7500,0.0547,95598.1010,0.0002,0.0054,0.0590,133.4101,55.3255
10.0000,0.0547,75926.6733,0.0003,0.0049,0.0637,134.2679,53.9268
11.2500,0.0547,65862.7527,0.0003,0.0051,0.0668,134.8311,53.0445
12.5000,0.0547,56439.0826,0.0004,0.0051,0.0703,135.4738,52.0711
13.7500,0.0547,50760.6800,0.0004,0.0052,0.0729,135.9347,51.3937
15.0000,0.0547,47647.3298,0.0004,0.0052,0.0744,136.2176,50.9861
16.2500,0.0547,43131.0050,0.0005,0.0053,0.0769,136.6751,50.3401
17.5000,0.0547,49321.8788,0.0004,0.0054,0.0736,136.0625,51.2089
18.7500,0.0547,52059.8721,0.0004,0.0052,0.0723,135.8234,51.5558
20.0000,0.0547,44449.4766,0.0005,0.0049,0.0762,136.5352,50.5360
21.2500,0.0547,45118.8491,0.0005,0.0050,0.0758,136.4662,50.6331
22.5000,0.0547,57055.3412,0.0004,0.0054,0.0701,135.4275,52.1401
23.7500,0.0547,46616.5411,0.0004,0.0066,0.0750,136.3168,50.8447
25.0000,0.0547,43584.9188,0.0004,0.0066,0.0767,136.6263,50.4083
26.2500,0.0547,56466.5119,0.0003,0.0056,0.0703,135.4717,52.0742
27.5000,0.0547,39029.4821,0.0005,0.0057,0.0795,137.1497,49.6862
28.7500,0.0547,33466.8625,0.0006,0.0059,0.0837,137.9115,48.6698
30.0000,0.0547,35870.9181,0.0005,0.0057,0.0818,137.5629,49.1298
31.2500,0.0547,35377.0403,0.0006,0.0055,0.0822,137.6319,49.0381
32.5000,0.0547,38870.6693,0.0005,0.0055,0.0796,137.1694,49.6594
33.7500,0.0547,39833.3003,0.0005,0.0052,0.0790,137.0516,49.8201
35.0000,0.0560,43606.3436,0.0005,0.0052,0.0766,138.7663,49.8205
36.2500,0.0560,52958.4428,0.0004,0.0054,0.0718,137.9042,51.0480
37.5000,0.0560,43998.4465,0.0005,0.0055,0.0764,138.7253,49.8775
38.7500,0.0547,47686.7144,0.0004,0.0054,0.0744,136.2139,50.9915
40.0000,0.0560,66088.3927,0.0003,0.0052,0.0667,136.9872,52.4186
41.2500,0.0560,52185.1578,0.0004,0.0058,0.0722,137.9675,50.9559
42.5000,0.0547,40253.6802,0.0004,0.0062,0.0787,137.0013,49.8889
43.7500,0.0560,32681.7239,0.0006,0.0060,0.0844,140.1533,47.9596
45.0000,0.0560,36417.0883,0.0005,0.0059,0.0814,139.6171,48.6631
46.2500,0.0547,65247.9335,0.0003,0.0062,0.0670,134.8692,52.9859
47.5000,0.0560,82165.3800,0.0002,0.0086,0.0621,136.1493,53.7338
48.7500,0.0560,96790.9032,0.0001,0.0095,0.0588,135.5579,54.7009
50.0000,0.0560,86436.8186,0.0002,0.0083,0.0610,135.9629,54.0351
51.2500,0.0547,20823.2794,0.0003,0.0171,0.0981,140.5242,45.4659
52.5000,0.0560,16516.3574,0.0004,0.0185,0.1059,144.0191,43.4100
53.7500,0.0585,46725.0043,0.0002,0.0117,0.0749,142.6050,49.1290
55.0000,0.0598,136435.1329,0.0001,0.0074,0.0524,140.7584,54.6069
56.2500,0.0598,110011.7596,0.0001,0.0075,0.0563,141.4264,53.4656
57.5000,0.0572,38129.4288,0.0003,0.0090,0.0802,141.4798,48.4096
58.7500,0.0572,32450.6880,0.0004,0.0100,0.0846,142.2617,47.3837
60.0000,0.0585,72136.9184,0.0003,0.0064,0.0648,140.8488,51.7119
61.2500,0.0572,116239.1070,0.0002,0.0057,0.0553,137.0862,55.0647
62.5000,0.0598,70139.5675,0.0003,0.0061,0.0654,142.9882,50.9682
63.7500,0.0610,105114.4336,0.0002,0.0068,0.0572,143.5855,52.6165
65.0000,0.0623,146518.4433,0.0001,0.0064,0.0512,144.5593,53.7232
66.2500,0.0636,211222.4977,0.0001,0.0058,0.0453,145.5417,54.8557
67.5000,0.0636,245148.3992,0.0001,0.0049,0.0431,145.1822,55.5279
68.7500,0.0649,141953.7971,0.0002,0.0042,0.0517,148.4983,52.4095
70.0000,0.0661,99157.3000,0.0003,0.0048,0.0583,151.4118,50.1285
71.2500,0.0674,58360.5211,0.0004,0.0062,0.0696,154.9954,46.9512
72.5000,0.0699,64589.6568,0.0003,0.0065,0.0672,158.1268,46.6031
73.7500,0.0687,129899.9109,0.0002,0.0055,0.0533,154.2371,50.4175
75.0000,0.0687,139571.3361,0.0002,0.0052,0.0520,154.0424,50.7458
76.2500,0.0687,126567.5126,0.0002,0.0053,0.0537,154.3087,50.2978
77.5000,0.0687,144230.3945,0.0002,0.0051,0.0514,153.9549,50.8946
78.7500,0.0687,151207.0875,0.0002,0.0051,0.0506,153.8307,51.1074
80.0000,0.0699,158092.8554,0.0002,0.0050,0.0499,155.4847,50.8041
81.2500,0.0687,171061.1142,0.0002,0.0046,0.0486,153.5154,51.6552
82.5000,0.0687,165060.0699,0.0002,0.0049,0.0492,153.6053,51.4978
83.7500,0.0687,141745.2745,0.0002,0.0058,0.0517,154.0011,50.8159
85.0000,0.0687,132517.2218,0.0001,0.0084,0.0529,154.1825,50.5091
86.2500,0.0687,149209.5502,0.0001,0.0114,0.0509,153.8655,51.0476
87.5000,0.0712,73163.2612,0.0001,0.0135,0.0645,159.4156,46.7940
88.7500,0.0725,100779.8966,0.0001,0.0146,0.0580,160.1245,47.8712
90.0000,0.0712,152766.6482,0.0001,0.0112,0.0505,157.3082,50.1704
91.2500,0.0712,144006.3381,0.0001,0.0116,0.0515,157.4588,49.9136
92.5000,0.0699,67091.5087,0.0001,0.0181,0.0664,157.9979,46.7925
93.7500,0.0699,85459.0344,0.0001,0.0161,0.0612,157.2142,47.9765
95.0000,0.0712,60564.7004,0.0002,0.0151,0.0687,160.0452,45.8683
96.2500,0.0738,66785.4044,0.0001,0.0167,0.0665,163.0277,45.5488
97.5000,0.0750,72218.0157,0.0001,0.0153,0.0648,164.3955,45.5298
98.7500,0.0763,111466.4677,0.0001,0.0130,0.0561,164.7487,47.0700
100.0000,0.0788,56242.0394,0.0002,0.0135,0.0704,169.8644,43.3033
101.2500,0.0814,59396.8616,0.0002,0.0136,0.0691,172.6768,42.8930
