distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.0547,8778.2736,0.0020,0.0062,0.1308,146.4835,39.4732
1.2500,0.0534,16731.1479,0.0010,0.0062,0.1055,139.7650,44.4441
2.5000,0.0534,265652.2710,0.0001,0.0060,0.0420,128.0160,61.8905
3.7500,0.0534,164969.3777,0.0001,0.0072,0.0492,129.3522,59.2791
5.0000,0.0534,92152.5805,0.0002,0.0077,0.0597,131.3015,55.8282
6.2500,0.0534,61240.6293,0.0002,0.0077,0.0684,132.9138,53.2524
7.5000,0.0534,45437.4294,0.0004,0.0067,0.0756,134.2383,51.3008
8.7500,0.0534,49136.8663,0.0003,0.0064,0.0737,133.8781,51.8178
10.0000,0.0534,60795.6964,0.0002,0.0071,0.0686,132.9446,53.2054
11.2500,0.0534,60934.0038,0.0002,0.0073,0.0686,132.9350,53.2200
12.5000,0.0534,56285.6640,0.0003,0.0075,0.0704,133.2749,52.7064
13.7500,0.0534,59634.4722,0.0002,0.0076,0.0691,133.0265,53.0809
15.0000,0.0534,86522.1249,0.0002,0.0072,0.0610,131.5362,55.4386
16.2500,0.0534,100398.6014,0.0002,0.0067,0.0580,130.9904,56.3529
17.5000,0.0534,92743.0459,0.0002,0.0071,0.0596,131.2780,55.8675
18.7500,0.0534,69729.5163,0.0002,0.0083,0.0655,132.3776,54.0833
20.0000,0.0534,77794.6479,0.0002,0.0076,0.0632,131.9433,54.7749
21.2500,0.0534,71453.8346,0.0002,0.0071,0.0650,132.2793,54.2384
22.5000,0.0534,62384.0061,0.0002,0.0075,0.0680,132.8360,53.3715
23.7500,0.0534,84607.2975,0.0002,0.0077,0.0615,131.6207,55.2996
25.0000,0.0534,104101.9371,0.0001,0.0076,0.0573,130.8615,56.5730
26.2500,0.0534,125900.8793,0.0001,0.0079,0.0538,130.2100,57.7114
27.5000,0.0534,151516.3262,0.0001,0.0086,0.0506,129.6139,58.7922
28.7500,0.0534,169499.4544,0.0001,0.0073,0.0487,129.2704,59.4329
30.0000,0.0534,156574.4180,0.0001,0.0072,0.0501,129.5120,58.9809
31.2500,0.0534,113485.2194,0.0001,0.0084,0.0557,130.5606,57.0933
32.5000,0.0534,114032.1216,0.0001,0.0080,0.0556,130.5441,57.1221
33.7500,0.0534,106556.8563,0.0001,0.0076,0.0569,130.7794,56.7141
35.0000,0.0534,99814.7782,0.0001,0.0082,0.0582,131.0112,56.3174
36.2500,0.0534,110918.3795,0.0001,0.0093,0.0561,130.6396,56.9560
37.5000,0.0534,108480.8572,0.0001,0.0095,0.0566,130.7168,56.8222
38.7500,0.0534,91842.4931,0.0001,0.0094,0.0598,131.3139,55.8074
40.0000,0.0534,72509.4823,0.0002,0.0095,0.0647,132.2207,54.3313
41.2500,0.0534,63840.6113,0.0002,0.0096,0.0675,132.7395,53.5198
42.5000,0.0534,65082.1259,0.0002,0.0084,0.0671,132.6596,53.6433
43.7500,0.0534,54227.3873,0.0002,0.0083,0.0713,133.4376,52.4638
45.0000,0.0534,49211.5741,0.0002,0.0090,0.0736,133.8712,51.8278
46.2500,0.0534,62148.9744,0.0002,0.0080,0.0681,132.8518,53.3472
47.5000,0.0534,75612.2302,0.0002,0.0080,0.0638,132.0547,54.5959
48.7500,0.0534,84877.4754,0.0002,0.0081,0.0614,131.6086,55.3194
50.0000,0.0534,85052.3370,0.0002,0.0078,0.0613,131.6008,55.3322
51.2500,0.0534,87694.5484,0.0001,0.0082,0.0607,131.4857,55.5220
52.5000,0.0534,67938.5252,0.0002,0.0081,0.0661,132.4833,53.9177
53.7500,0.0534,59078.2267,0.0002,0.0079,0.0693,133.0664,53.0203
55.0000,0.0534,62264.6991,0.0002,0.0076,0.0681,132.8440,53.3592
56.2500,0.0534,61824.4651,0.0002,0.0074,0.0682,132.8738,53.3135
57.5000,0.0534,63797.1661,0.0002,0.0082,0.0675,132.7424,53.5154
58.7500,0.0534,70951.2712,0.0002,0.0085,0.0652,132.3076,54.1937
60.0000,0.0534,105949.3747,0.0001,0.0078,0.0570,130.7995,56.6796
61.2500,0.0534,134335.9923,0.0001,0.0081,0.0527,129.9971,58.0931
