distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.0534,44272.7202,0.0004,0.0055,0.0763,134.3598,51.1284
1.2500,0.0534,80418.1467,0.0002,0.0056,0.0625,131.8147,54.9828
2.5000,0.0534,457333.3058,0.0000,0.0064,0.0350,126.7302,64.6209
3.7500,0.0534,371444.1060,0.0000,0.0068,0.0375,127.1953,63.6070
5.0000,0.0534,290887.9440,0.0001,0.0055,0.0407,127.7847,62.3652
6.2500,0.0534,164269.5642,0.0002,0.0042,0.0493,129.3651,59.2549
7.5000,0.0534,138084.5734,0.0002,0.0040,0.0522,129.9081,58.2540
8.7500,0.0534,133392.4224,0.0002,0.0039,0.0528,130.0200,58.0518
10.0000,0.0534,114012.1259,0.0002,0.0039,0.0556,130.5447,57.1211
11.2500,0.0534,122419.0060,0.0002,0.0039,0.0543,130.3035,57.5453
12.5000,0.0534,120775.9275,0.0002,0.0038,0.0546,130.3489,57.4651
13.7500,0.0534,101652.2897,0.0003,0.0038,0.0578,130.9460,56.4285
15.0000,0.0534,101984.9681,0.0003,0.0038,0.0577,130.9344,56.4483
16.2500,0.0534,125992.8817,0.0002,0.0037,0.0538,130.2076,57.7158
17.5000,0.0534,134310.1712,0.0002,0.0036,0.0527,129.9977,58.0920
18.7500,0.0534,130391.8962,0.0002,0.0036,0.0532,130.0944,57.9181
20.0000,0.0534,147135.2989,0.0002,0.0038,0.0511,129.7059,58.6229
21.2500,0.0534,189670.8121,0.0001,0.0042,0.0470,128.9387,60.0644
22.5000,0.0534,301196.0939,0.0001,0.0048,0.0402,127.6978,62.5454
23.7500,0.0534,374430.2630,0.0000,0.0059,0.0374,127.1768,63.6468
25.0000,0.0534,378004.3379,0.0000,0.0059,0.0373,127.1549,63.6939
26.2500,0.0534,367468.2736,0.0001,0.0057,0.0377,127.2203,63.5535
