distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.0547,433226.1125,0.0000,0.0065,0.0357,129.1577,63.4289
1.2500,0.0547,446038.3970,0.0000,0.0064,0.0353,129.0950,63.5656
2.5000,0.0547,425795.4398,0.0000,0.0064,0.0359,129.1953,63.3474
3.7500,0.0547,281186.0150,0.0001,0.0072,0.0412,130.1641,61.3124
5.0000,0.0547,212746.3125,0.0001,0.0074,0.0452,130.8949,59.8588
6.2500,0.0547,188825.6043,0.0001,0.0074,0.0470,131.2287,59.2166
7.5000,0.0547,160863.3208,0.0001,0.0075,0.0496,131.6987,58.3346
8.7500,0.0547,150402.9541,0.0001,0.0071,0.0507,131.9035,57.9581
10.0000,0.0547,152365.0804,0.0001,0.0066,0.0505,131.8637,58.0310
11.2500,0.0547,174233.9719,0.0001,0.0062,0.0483,131.4615,58.7767
12.5000,0.0547,178935.2937,0.0001,0.0063,0.0479,131.3837,58.9229
13.7500,0.0547,178970.6882,0.0001,0.0061,0.0479,131.3831,58.9240
15.0000,0.0547,190043.7640,0.0001,0.0063,0.0469,131.2104,59.2515
16.2500,0.0547,180069.9084,0.0001,0.0070,0.0478,131.3654,58.9576
17.5000,0.0547,168169.0012,0.0001,0.0067,0.0489,131.5660,58.5812
18.7500,0.0547,131920.1222,0.0001,0.0072,0.0530,132.3163,57.2132
20.0000,0.0547,78464.0545,0.0001,0.0094,0.0630,134.1414,54.1287
21.2500,0.0547,64784.5048,0.0002,0.0099,0.0672,134.8983,52.9412
22.5000,0.0547,88264.9730,0.0001,0.0085,0.0606,133.6998,54.8454
23.7500,0.0547,120158.4080,0.0001,0.0078,0.0547,132.6215,56.6743
25.0000,0.0547,127430.3851,0.0001,0.0076,0.0536,132.4284,57.0142
26.2500,0.0547,143260.0032,0.0001,0.0075,0.0516,132.0546,57.6833
27.5000,0.0547,179380.9141,0.0001,0.0071,0.0478,131.3765,58.9366
