distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.0547,8.0859,3.1238,0.0062,1.3441,367.4734,4.9925
1.2500,0.0547,11.6923,1.8384,0.0062,1.1886,339.1535,5.8685
2.5000,0.0547,177790.7366,0.0001,0.0055,0.0480,131.4024,58.8877
3.7500,0.0547,83525.1040,0.0002,0.0075,0.0617,133.9048,54.5106
5.0000,0.0547,84144.4664,0.0002,0.0068,0.0616,133.8771,54.5555
6.2500,0.0547,88582.8215,0.0002,0.0061,0.0605,133.6866,54.8671
7.5000,0.0547,62826.9728,0.0003,0.0066,0.0679,135.0240,52.7487
8.7500,0.0547,75276.5220,0.0002,0.0061,0.0639,134.3012,53.8738
10.0000,0.0547,138683.5507,0.0001,0.0054,0.0521,132.1568,57.4989
11.2500,0.0547,187341.9395,0.0001,0.0050,0.0471,131.2513,59.1737
12.5000,0.0547,149058.4430,0.0001,0.0055,0.0509,131.9312,57.9075
13.7500,0.0547,85454.8170,0.0002,0.0059,0.0612,133.8195,54.6494
15.0000,0.0547,48961.6538,0.0004,0.0056,0.0737,136.0953,51.1617
16.2500,0.0547,38020.1635,0.0005,0.0059,0.0802,137.2767,49.5139
17.5000,0.0547,36435.5781,0.0005,0.0058,0.0814,137.4856,49.2331
18.7500,0.0547,40264.1932,0.0005,0.0056,0.0787,137.0000,49.8906
20.0000,0.0547,47090.3325,0.0004,0.0057,0.0747,136.2709,50.9102
21.2500,0.0547,45917.2049,0.0004,0.0062,0.0753,136.3858,50.7469
22.5000,0.0547,50752.5401,0.0003,0.0067,0.0729,135.9354,51.3927
23.7500,0.0547,63945.5577,0.0002,0.0070,0.0675,134.9516,52.8595
25.0000,0.0534,68914.1531,0.0002,0.0065,0.0658,132.4253,54.0085
26.2500,0.0534,77142.9728,0.0002,0.0057,0.0634,131.9761,54.7221
27.5000,0.0534,104226.7518,0.0002,0.0057,0.0573,130.8572,56.5803
28.7500,0.0547,97912.4223,0.0002,0.0066,0.0585,133.3248,55.4685
30.0000,0.0547,95577.8401,0.0002,0.0068,0.0590,133.4109,55.3243
31.2500,0.0547,78320.5139,0.0002,0.0082,0.0631,134.1484,54.1175
32.5000,0.0534,65047.5773,0.0002,0.0096,0.0671,132.6618,53.6399
33.7500,0.0534,104509.7783,0.0001,0.0081,0.0573,130.8477,56.5967
35.0000,0.0534,116354.0162,0.0001,0.0082,0.0553,130.4752,57.2427
36.2500,0.0534,112119.3968,0.0001,0.0084,0.0559,130.6023,57.0207
37.5000,0.0534,134244.9741,0.0001,0.0077,0.0527,129.9993,58.0891
38.7500,0.0534,139882.2640,0.0001,0.0081,0.0520,129.8666,58.3295
40.0000,0.0534,146541.1448,0.0001,0.0086,0.0512,129.7187,58.5995
41.2500,0.0534,139985.9559,0.0001,0.0084,0.0520,129.8642,58.3338
42.5000,0.0534,145703.4513,0.0001,0.0084,0.0513,129.7368,58.5663
43.7500,0.0534,178806.2837,0.0001,0.0083,0.0479,129.1112,59.7344
45.0000,0.0534,131942.5375,0.0001,0.0075,0.0530,130.0557,57.9876
46.2500,0.0534,118018.1743,0.0001,0.0073,0.0550,130.4270,57.3275
47.5000,0.0534,121165.3178,0.0001,0.0068,0.0545,130.3381,57.4842
48.7500,0.0534,102834.9660,0.0002,0.0065,0.0576,130.9049,56.4987
50.0000,0.0534,110582.3365,0.0002,0.0060,0.0562,130.6501,56.9377
51.2500,0.0534,93539.1114,0.0002,0.0062,0.0594,131.2467,55.9200
52.5000,0.0534,69159.9410,0.0002,0.0066,0.0657,132.4108,54.0312
53.7500,0.0534,89044.3881,0.0002,0.0066,0.0604,131.4286,55.6165
55.0000,0.0534,91153.9569,0.0002,0.0077,0.0599,131.3417,55.7610
