distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
783.7500,0.1488,65.6415,0.0444,0.1090,0.6688,265.9406,9.8954
785.0000,0.1602,40.2300,0.0596,0.1475,0.7873,273.6818,8.5667
786.2500,0.1590,33.0740,0.0589,0.1796,0.8405,276.4329,8.1074
787.5000,0.1539,47.2811,0.0458,0.1557,0.7461,271.0513,9.0006
788.7500,0.1373,51.7637,0.0604,0.0959,0.7239,268.1121,9.3478
790.0000,0.1437,42.0415,0.0697,0.1069,0.7759,272.1635,8.7647
791.2500,0.1399,40.6074,0.0869,0.0925,0.7849,272.5525,8.6992
792.5000,0.1500,54.9949,0.0810,0.0767,0.7094,268.5547,9.4143
793.7500,0.1895,46.2052,0.0759,0.1182,0.7518,273.7480,8.7553
795.0000,0.2022,46.2855,0.0739,0.1262,0.7514,274.4774,8.7022
796.2500,0.1526,29.6210,0.0788,0.1391,0.8719,278.2251,7.8755
797.5000,0.0890,15.6958,0.0700,0.2159,1.0775,305.2362,6.5673
798.7500,0.1500,36.7841,0.0746,0.1212,0.8112,274.6445,8.3997
800.0000,0.1869,36.0227,0.0643,0.1723,0.8169,275.7546,8.1957
801.2500,0.1602,29.0760,0.0641,0.1929,0.8773,278.3517,7.8064
802.5000,0.1628,59.7186,0.0513,0.1152,0.6902,268.9382,9.5385
803.7500,0.1844,78.2814,0.0503,0.0969,0.6307,269.2127,10.0806
805.0000,0.2022,126.3088,0.0368,0.0899,0.5377,269.4114,11.1871
806.2500,0.1679,88.6072,0.0393,0.1064,0.6051,265.5840,10.5438
807.5000,0.1564,65.9379,0.0570,0.0957,0.6678,266.9582,9.8454
808.7500,0.2492,70.5533,0.0716,0.0994,0.6529,277.0322,9.4441
810.0000,0.2594,88.3262,0.0494,0.1220,0.6058,278.2727,9.9038
811.2500,0.1857,43.4638,0.0512,0.1740,0.7673,274.0435,8.6302
812.5000,0.1310,44.9120,0.0479,0.1356,0.7590,270.0891,9.0168
813.7500,0.1577,42.8536,0.0600,0.1335,0.7709,272.6852,8.7338
815.0000,0.2022,64.0018,0.0506,0.1246,0.6744,272.6534,9.4628
816.2500,0.1920,48.6718,0.0590,0.1349,0.7389,273.5127,8.8650
817.5000,0.1958,57.7308,0.0547,0.1272,0.6980,272.6405,9.2504
818.7500,0.2047,86.1055,0.0415,0.1192,0.6109,271.5036,10.1765
820.0000,0.2174,59.2740,0.0579,0.1350,0.6919,274.4242,9.2004
821.2500,0.2047,46.2795,0.0679,0.1447,0.7514,274.6211,8.6909
822.5000,0.2581,56.8017,0.0905,0.1086,0.7018,277.5641,8.9269
823.7500,0.3471,131.8399,0.0572,0.0937,0.5301,289.9088,10.3438
825.0000,0.3586,77.1465,0.0766,0.1286,0.6337,286.4107,9.1976
826.2500,0.4896,69.1136,0.0969,0.1505,0.6574,292.4362,8.6469
827.5000,0.5074,112.6706,0.0722,0.1272,0.5586,301.9242,9.4520
828.7500,0.5303,117.6332,0.0665,0.1338,0.5506,304.2015,9.4643
830.0000,0.5557,359.1707,0.0368,0.0862,0.3795,322.7751,11.3687
831.2500,0.5315,333.2591,0.0328,0.0999,0.3891,319.3682,11.3376
832.5000,0.5455,246.8870,0.0389,0.1145,0.4300,316.8547,10.7312
833.7500,0.3739,44.9998,0.1056,0.1694,0.7585,281.1494,8.1390
835.0000,0.3293,36.0241,0.1046,0.1946,0.8169,277.7411,7.8239
836.2500,0.4044,59.5451,0.0726,0.1937,0.6909,286.0541,8.5774
837.5000,0.3522,127.4470,0.0543,0.1061,0.5361,290.2030,10.2479
838.7500,0.4540,205.9992,0.0579,0.0733,0.4568,305.6132,10.7642
840.0000,0.4908,265.7607,0.0353,0.1057,0.4196,312.4081,11.0933
841.2500,0.4680,203.7498,0.0433,0.1084,0.4585,306.9129,10.6829
842.5000,0.4425,87.5295,0.0632,0.1677,0.6076,293.6734,9.1805
843.7500,0.3853,65.4723,0.0655,0.1909,0.6694,286.3176,8.8013
845.0000,0.3471,89.7672,0.0478,0.1665,0.6025,286.8814,9.5426
846.2500,0.2670,52.0926,0.0654,0.1701,0.7224,277.9502,8.7099
847.5000,0.2518,108.4784,0.0368,0.1271,0.5657,277.5197,10.4291
848.7500,0.2670,59.5810,0.0576,0.1656,0.6907,278.2664,8.9950
850.0000,0.2556,54.6552,0.0592,0.1708,0.7109,277.3489,8.8537
851.2500,0.2645,114.7236,0.0461,0.1046,0.5552,279.2843,10.4822
852.5000,0.2823,110.1364,0.0504,0.1070,0.5628,281.4504,10.2833
853.7500,0.3204,137.2689,0.0538,0.0880,0.5230,287.0742,10.5680
855.0000,0.3230,169.9958,0.0501,0.0768,0.4870,288.5722,11.0309
856.2500,0.2976,80.4614,0.0539,0.1430,0.6249,281.8205,9.5144
857.5000,0.2530,60.8293,0.0579,0.1559,0.6860,277.2721,9.0966
858.7500,0.2124,121.2878,0.0341,0.1053,0.5450,271.3738,10.9924
860.0000,0.2098,117.2634,0.0373,0.0986,0.5512,271.0532,10.9260
861.2500,0.2200,174.2104,0.0312,0.0844,0.4830,271.8246,11.8762
862.5000,0.2098,136.1480,0.0374,0.0861,0.5244,270.5389,11.3170
863.7500,0.2251,106.8567,0.0438,0.0990,0.5685,273.7450,10.5723
865.0000,0.2391,183.7723,0.0351,0.0769,0.4745,275.4499,11.8373
866.2500,0.2022,117.8999,0.0387,0.0973,0.5502,269.7075,11.0048
867.5000,0.1806,56.9942,0.0517,0.1409,0.7010,271.3000,9.3061
868.7500,0.2263,61.5445,0.0517,0.1459,0.6833,275.0858,9.2435
870.0000,0.2378,115.4563,0.0407,0.1045,0.5540,275.5326,10.6735
871.2500,0.2632,149.5152,0.0479,0.0764,0.5083,279.5019,11.1242
