distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.0547,21006.0055,0.0008,0.0062,0.0978,140.4723,45.5257
1.2500,0.0547,38648.0429,0.0005,0.0061,0.0798,137.1972,49.6217
2.5000,0.0534,201170.7057,0.0001,0.0062,0.0460,128.7699,60.3906
3.7500,0.0534,100220.6633,0.0001,0.0072,0.0581,130.9967,56.3421
5.0000,0.0534,84508.7180,0.0002,0.0062,0.0615,131.6251,55.2923
6.2500,0.0534,75342.6252,0.0003,0.0053,0.0639,132.0687,54.5734
7.5000,0.0534,53113.5516,0.0003,0.0059,0.0718,133.5292,52.3283
8.7500,0.0534,56473.6806,0.0003,0.0064,0.0703,133.2605,52.7280
10.0000,0.0534,70825.0944,0.0003,0.0058,0.0652,132.3148,54.1824
11.2500,0.0534,67065.8248,0.0003,0.0057,0.0664,132.5361,53.8352
12.5000,0.0534,69614.1629,0.0003,0.0054,0.0656,132.3843,54.0728
13.7500,0.0534,64296.6615,0.0003,0.0057,0.0673,132.7099,53.5654
15.0000,0.0534,64190.1095,0.0003,0.0061,0.0674,132.7168,53.5548
16.2500,0.0534,68422.8523,0.0003,0.0057,0.0660,132.4543,53.9630
17.5000,0.0534,57680.0128,0.0003,0.0059,0.0698,133.1691,52.8652
18.7500,0.0534,69380.2946,0.0003,0.0062,0.0657,132.3979,54.0514
20.0000,0.0534,139091.4750,0.0001,0.0061,0.0521,129.8848,58.2964
21.2500,0.0534,124010.1960,0.0001,0.0070,0.0541,130.2604,57.6219
22.5000,0.0534,116099.7276,0.0001,0.0076,0.0553,130.4827,57.2297
23.7500,0.0534,215744.1443,0.0001,0.0074,0.0450,128.5737,60.7743
25.0000,0.0534,214368.8345,0.0001,0.0073,0.0451,128.5914,60.7394
26.2500,0.0534,163304.5392,0.0001,0.0074,0.0494,129.3830,59.2214
27.5000,0.0534,144722.4847,0.0001,0.0075,0.0514,129.7582,58.5271
28.7500,0.0534,167177.9118,0.0001,0.0071,0.0490,129.3120,59.3547
30.0000,0.0534,191760.4746,0.0001,0.0067,0.0468,128.9070,60.1253
31.2500,0.0534,87701.3367,0.0002,0.0079,0.0607,131.4854,55.5225
32.5000,0.0534,73718.0655,0.0002,0.0074,0.0643,132.1549,54.4359
33.7500,0.0534,88897.6421,0.0002,0.0063,0.0604,131.4348,55.6063
35.0000,0.0534,108205.1909,0.0002,0.0063,0.0566,130.7257,56.8068
36.2500,0.0534,209913.1114,0.0001,0.0058,0.0454,128.6500,60.6245
37.5000,0.0534,284068.1716,0.0001,0.0054,0.0410,127.8445,62.2418
38.7500,0.0534,121892.8860,0.0001,0.0061,0.0544,130.3180,57.5198
40.0000,0.0534,118145.2461,0.0001,0.0063,0.0550,130.4233,57.3339
41.2500,0.0534,207374.5066,0.0001,0.0071,0.0456,128.6841,60.5578
42.5000,0.0534,142824.9017,0.0001,0.0073,0.0516,129.8001,58.4506
43.7500,0.0534,117558.5606,0.0001,0.0067,0.0551,130.4402,57.3042
45.0000,0.0534,94080.1797,0.0002,0.0057,0.0593,131.2255,55.9554
46.2500,0.0534,95263.4064,0.0002,0.0053,0.0591,131.1799,56.0321
47.5000,0.0534,133882.6549,0.0002,0.0052,0.0527,130.0081,58.0733
48.7500,0.0534,159471.8228,0.0001,0.0053,0.0497,129.4556,59.0859
50.0000,0.0534,139238.1373,0.0001,0.0055,0.0521,129.8814,58.3026
51.2500,0.0534,116974.2917,0.0002,0.0057,0.0552,130.4571,57.2745
52.5000,0.0534,74019.1443,0.0003,0.0054,0.0643,132.1387,54.4616
53.7500,0.0534,57655.3574,0.0004,0.0050,0.0698,133.1710,52.8624
55.0000,0.0534,58464.2095,0.0003,0.0052,0.0695,133.1111,52.9527
56.2500,0.0534,69764.4624,0.0003,0.0060,0.0655,132.3756,54.0865
57.5000,0.0534,89246.0567,0.0002,0.0069,0.0604,131.4202,55.6305
58.7500,0.0534,112298.2093,0.0001,0.0065,0.0559,130.5968,57.0303
60.0000,0.0534,174883.7575,0.0001,0.0057,0.0482,129.1769,59.6096
61.2500,0.0521,199989.7146,0.0001,0.0056,0.0461,126.4521,61.2281
62.5000,0.0534,211650.7840,0.0001,0.0061,0.0453,128.6270,60.6697
63.7500,0.0534,186649.8436,0.0001,0.0070,0.0472,128.9853,59.9749
65.0000,0.0534,124025.0386,0.0001,0.0065,0.0541,130.2600,57.6226
66.2500,0.0534,118983.5820,0.0001,0.0060,0.0549,130.3994,57.3761
67.5000,0.0534,144452.0211,0.0001,0.0059,0.0514,129.7641,58.5163
68.7500,0.0521,145175.6739,0.0001,0.0061,0.0513,127.4288,59.3686
70.0000,0.0534,132164.0413,0.0001,0.0065,0.0530,130.0502,57.9975
71.2500,0.0534,151214.4841,0.0001,0.0065,0.0506,129.6201,58.7807
72.5000,0.0534,126249.7567,0.0001,0.0065,0.0538,130.2008,57.7278
73.7500,0.0521,117902.7060,0.0001,0.0062,0.0550,128.1216,58.1142
75.0000,0.0534,139129.5071,0.0001,0.0055,0.0521,129.8839,58.2980
