distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.0547,145345.3831,0.0001,0.0066,0.0513,132.0095,57.7652
1.2500,0.0534,197386.9066,0.0001,0.0066,0.0463,128.8240,60.2857
2.5000,0.0534,293632.2573,0.0001,0.0067,0.0406,127.7612,62.4139
3.7500,0.0534,244012.0192,0.0001,0.0072,0.0432,128.2391,61.4394
5.0000,0.0534,206636.3495,0.0001,0.0082,0.0456,128.6942,60.5382
6.2500,0.0534,133081.2650,0.0001,0.0087,0.0528,130.0276,58.0381
7.5000,0.0534,125538.3198,0.0001,0.0080,0.0539,130.2196,57.6944
8.7500,0.0534,92785.3860,0.0001,0.0087,0.0596,131.2763,55.8703
10.0000,0.0534,99618.4943,0.0001,0.0075,0.0582,131.0183,56.3054
11.2500,0.0534,151594.0540,0.0001,0.0056,0.0506,129.6123,58.7952
12.5000,0.0534,137510.5698,0.0001,0.0053,0.0523,129.9215,58.2297
13.7500,0.0534,111963.5569,0.0002,0.0055,0.0560,130.6071,57.0123
15.0000,0.0534,96892.8840,0.0002,0.0057,0.0587,131.1183,56.1360
16.2500,0.0534,102520.7333,0.0002,0.0052,0.0576,130.9157,56.4802
17.5000,0.0534,101246.4503,0.0002,0.0050,0.0579,130.9603,56.4041
18.7500,0.0534,108862.4397,0.0002,0.0051,0.0565,130.7045,56.8433
20.0000,0.0534,113724.5743,0.0002,0.0054,0.0557,130.5534,57.1060
21.2500,0.0534,77871.3644,0.0002,0.0063,0.0632,131.9394,54.7811
22.5000,0.0534,65999.8380,0.0002,0.0077,0.0668,132.6019,53.7329
23.7500,0.0534,82593.0432,0.0002,0.0077,0.0619,131.7123,55.1495
25.0000,0.0534,92072.2032,0.0002,0.0062,0.0597,131.3047,55.8228
26.2500,0.0534,96238.1480,0.0002,0.0056,0.0589,131.1429,56.0945
27.5000,0.0534,111661.9156,0.0002,0.0056,0.0560,130.6165,56.9961
28.7500,0.0534,116053.6618,0.0002,0.0059,0.0553,130.4840,57.2273
30.0000,0.0534,124798.3497,0.0001,0.0063,0.0540,130.2393,57.6594
31.2500,0.0534,117635.4139,0.0001,0.0074,0.0551,130.4380,57.3081
32.5000,0.0534,139799.6003,0.0001,0.0081,0.0520,129.8685,58.3260
33.7500,0.0534,175797.9801,0.0001,0.0074,0.0482,129.1614,59.6390
35.0000,0.0534,125709.3254,0.0001,0.0077,0.0539,130.2151,57.7024
36.2500,0.0534,108341.2214,0.0001,0.0072,0.0566,130.7213,56.8144
37.5000,0.0534,115550.2979,0.0001,0.0068,0.0554,130.4989,57.2013
38.7500,0.0534,114904.3226,0.0001,0.0070,0.0555,130.5180,57.1678
40.0000,0.0534,107595.9269,0.0001,0.0075,0.0567,130.7454,56.7727
41.2500,0.0534,99010.2644,0.0001,0.0082,0.0583,131.0403,56.2680
42.5000,0.0534,90729.4414,0.0001,0.0078,0.0600,131.3590,55.7323
43.7500,0.0521,85762.3270,0.0002,0.0074,0.0612,129.2787,56.1288
45.0000,0.0521,93936.2660,0.0002,0.0067,0.0593,128.9351,56.7047
46.2500,0.0534,84836.4691,0.0002,0.0069,0.0614,131.6104,55.3164
47.5000,0.0521,80000.6559,0.0002,0.0064,0.0626,129.5483,55.6848
48.7500,0.0521,97521.9044,0.0002,0.0057,0.0586,128.7967,56.9398
50.0000,0.0521,103374.3573,0.0002,0.0064,0.0575,128.5849,57.3035
51.2500,0.0521,98683.7101,0.0002,0.0065,0.0584,128.7534,57.0139
52.5000,0.0521,87296.8578,0.0002,0.0063,0.0608,129.2110,56.2415
53.7500,0.0521,76626.2541,0.0002,0.0071,0.0635,129.7185,55.4078
55.0000,0.0521,64304.0267,0.0002,0.0082,0.0673,130.4368,54.2678
56.2500,0.0521,56550.7911,0.0002,0.0085,0.0703,130.9905,53.4191
57.5000,0.0521,62349.1091,0.0002,0.0084,0.0680,130.5677,54.0649
58.7500,0.0521,87937.6820,0.0002,0.0076,0.0607,129.1831,56.2879
60.0000,0.0521,130130.7270,0.0001,0.0066,0.0532,127.7871,58.7135
61.2500,0.0521,137571.3782,0.0001,0.0063,0.0523,127.6034,59.0477
62.5000,0.0521,137199.6869,0.0001,0.0064,0.0523,127.6122,59.0315
63.7500,0.0521,147942.5321,0.0001,0.0068,0.0510,127.3683,59.4806
65.0000,0.0521,121913.6554,0.0001,0.0069,0.0544,128.0070,58.3183
66.2500,0.0521,105670.3807,0.0002,0.0065,0.0571,128.5061,57.4399
67.5000,0.0521,115213.5909,0.0001,0.0066,0.0554,128.2014,57.9730
68.7500,0.0521,105168.6977,0.0002,0.0065,0.0572,128.5231,57.4103
70.0000,0.0521,76956.6946,0.0002,0.0061,0.0634,129.7014,55.4356
71.2500,0.0521,89759.3338,0.0002,0.0061,0.0603,129.1055,56.4177
72.5000,0.0521,104784.3246,0.0002,0.0058,0.0572,128.5362,57.3876
73.7500,0.0521,113514.6772,0.0002,0.0055,0.0557,128.2531,57.8818
75.0000,0.0521,143538.5673,0.0001,0.0065,0.0515,127.4654,59.3012
76.2500,0.0521,120680.4134,0.0001,0.0070,0.0546,128.0417,58.2564
77.5000,0.0521,114609.9951,0.0001,0.0070,0.0555,128.2197,57.9408
78.7500,0.0521,118116.8955,0.0001,0.0075,0.0550,128.1154,58.1253
80.0000,0.0521,143532.7783,0.0001,0.0070,0.0515,127.4655,59.3009
81.2500,0.0521,133921.4568,0.0001,0.0071,0.0527,127.6918,58.8864
82.5000,0.0521,130202.2042,0.0001,0.0073,0.0532,127.7853,58.7169
83.7500,0.0521,146221.6432,0.0001,0.0071,0.0512,127.4058,59.4112
85.0000,0.0521,151252.9643,0.0001,0.0074,0.0506,127.2979,59.6116
86.2500,0.0521,174002.5188,0.0001,0.0073,0.0483,126.8637,60.4309
87.5000,0.0521,183225.7888,0.0001,0.0075,0.0475,126.7087,60.7287
88.7500,0.0521,179171.9120,0.0001,0.0086,0.0479,126.7756,60.6000
90.0000,0.0521,177638.1695,0.0001,0.0089,0.0480,126.8014,60.5504
91.2500,0.0521,155301.0062,0.0001,0.0095,0.0502,127.2145,59.7673
92.5000,0.0521,172207.5022,0.0001,0.0094,0.0485,126.8952,60.3709
93.7500,0.0521,195589.7692,0.0001,0.0084,0.0465,126.5166,61.1018
95.0000,0.0521,125827.8286,0.0001,0.0091,0.0538,127.8998,58.5102
96.2500,0.0521,109211.3762,0.0001,0.0079,0.0564,128.3889,57.6438
97.5000,0.0521,131526.5494,0.0001,0.0061,0.0530,127.7516,58.7779
98.7500,0.0521,109241.7676,0.0002,0.0063,0.0564,128.3879,57.6455
100.0000,0.0521,74282.2044,0.0002,0.0075,0.0642,129.8428,55.2074
101.2500,0.0521,71751.4231,0.0002,0.0074,0.0649,129.9829,54.9829
102.5000,0.0521,60697.8110,0.0002,0.0082,0.0686,130.6826,53.8879
103.7500,0.0521,56504.7807,0.0002,0.0077,0.0703,130.9940,53.4137
105.0000,0.0521,91064.1782,0.0002,0.0065,0.0600,129.0512,56.5089
106.2500,0.0521,92717.1852,0.0001,0.0083,0.0596,128.9838,56.6224
107.5000,0.0521,76896.9287,0.0001,0.0094,0.0634,129.7045,55.4306
108.7500,0.0521,93656.0474,0.0001,0.0078,0.0594,128.9462,56.6859
110.0000,0.0521,96606.2937,0.0001,0.0073,0.0588,128.8314,56.8807
111.2500,0.0521,109545.8602,0.0001,0.0073,0.0564,128.3781,57.6627
112.5000,0.0521,92029.2860,0.0002,0.0072,0.0598,129.0116,56.5755
113.7500,0.0521,83268.4800,0.0002,0.0075,0.0618,129.3923,55.9408
115.0000,0.0509,97789.4002,0.0002,0.0070,0.0586,126.4316,57.7576
116.2500,0.0509,91257.5948,0.0002,0.0059,0.0599,126.6922,57.3120
117.5000,0.0521,65071.9525,0.0002,0.0066,0.0671,130.3868,54.3456
118.7500,0.0521,58873.2261,0.0002,0.0085,0.0693,130.8145,53.6861
120.0000,0.0521,86459.2496,0.0002,0.0073,0.0610,129.2477,56.1803
121.2500,0.0509,82054.1932,0.0002,0.0078,0.0621,127.1048,56.6198
122.5000,0.0509,64748.8983,0.0002,0.0100,0.0672,128.0785,55.0480
123.7500,0.0521,76786.6629,0.0001,0.0096,0.0635,129.7102,55.4213
125.0000,0.0521,75964.0255,0.0001,0.0107,0.0637,129.7531,55.3519
126.2500,0.0509,62126.4298,0.0002,0.0109,0.0681,128.2564,54.7697
127.5000,0.0509,63176.3591,0.0002,0.0106,0.0677,128.1840,54.8826
128.7500,0.0509,50195.1973,0.0002,0.0118,0.0731,129.2144,53.3167
130.0000,0.0509,44336.6690,0.0002,0.0124,0.0762,129.8041,52.4583
131.2500,0.0509,65828.9590,0.0001,0.0105,0.0668,128.0079,55.1591
132.5000,0.0509,86224.9727,0.0001,0.0096,0.0611,126.9105,56.9437
133.7500,0.0509,90004.9287,0.0001,0.0088,0.0602,126.7450,57.2225
135.0000,0.0509,67356.0771,0.0002,0.0095,0.0663,127.9108,55.3127
136.2500,0.0509,58433.8821,0.0002,0.0100,0.0695,128.5248,54.3551
137.5000,0.0509,64606.6054,0.0002,0.0094,0.0672,128.0879,55.0332
138.7500,0.0509,57765.3613,0.0002,0.0107,0.0698,128.5758,54.2770
140.0000,0.0509,46843.5119,0.0002,0.0108,0.0748,129.5397,52.8398
141.2500,0.0509,38655.1277,0.0002,0.0112,0.0798,130.4846,51.4999
142.5000,0.0509,42513.0768,0.0002,0.0112,0.0773,130.0092,52.1658
143.7500,0.0509,37255.9602,0.0002,0.0120,0.0808,130.6730,51.2405
145.0000,0.0509,41347.3702,0.0002,0.0124,0.0780,130.1466,51.9717
146.2500,0.0509,51699.5168,0.0002,0.0106,0.0724,129.0777,53.5195
147.5000,0.0509,29541.8643,0.0003,0.0132,0.0873,131.9128,49.5933
148.7500,0.0509,14369.3119,0.0004,0.0178,0.1110,136.4367,44.3525
150.0000,0.0509,14042.7106,0.0005,0.0154,0.1118,136.5997,44.1833
151.2500,0.0521,13791.7584,0.0005,0.0153,0.1125,138.9221,43.5553
152.5000,0.0509,12749.6912,0.0005,0.0173,0.1155,137.2982,43.4717
