distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
866.2500,0.5900,96.5843,0.0891,0.1442,0.5880,304.0553,8.9884
867.5000,0.6803,169.2485,0.0590,0.1379,0.4877,320.8660,9.6806
868.7500,0.5519,119.1078,0.0713,0.1329,0.5483,305.8541,9.4279
870.0000,0.5824,92.5402,0.0848,0.1505,0.5964,302.7667,8.9351
871.2500,0.6053,95.1919,0.0670,0.1909,0.5908,304.5414,8.9329
872.5000,0.4947,191.0997,0.0401,0.1318,0.4684,308.6787,10.4546
873.7500,0.5175,164.8523,0.0433,0.1471,0.4920,308.6153,10.1013
875.0000,0.5099,138.1983,0.0459,0.1632,0.5218,305.3463,9.8083
876.2500,0.4807,113.9473,0.0561,0.1514,0.5565,300.2127,9.5498
877.5000,0.5290,110.7815,0.0575,0.1621,0.5617,303.0831,9.3636
878.7500,0.5531,218.7839,0.0470,0.1074,0.4477,315.8180,10.4864
880.0000,0.5455,472.9356,0.0312,0.0754,0.3463,324.9425,11.9190
881.2500,0.5201,278.7450,0.0332,0.1113,0.4130,315.9973,11.0558
882.5000,0.5544,79.4828,0.0885,0.1643,0.6275,298.2240,8.7450
883.7500,0.5900,95.2529,0.0798,0.1604,0.5907,303.7661,8.9659
885.0000,0.5417,123.1797,0.0686,0.1313,0.5422,305.7682,9.5129
886.2500,0.5163,94.6340,0.0763,0.1452,0.5920,299.5240,9.1241
887.5000,0.4807,85.6442,0.0753,0.1565,0.6120,295.7003,9.0393
888.7500,0.4896,74.0506,0.0718,0.1913,0.6424,293.6832,8.7650
890.0000,0.4209,100.7728,0.0494,0.1775,0.5797,294.0434,9.5093
891.2500,0.3637,73.9197,0.0538,0.1903,0.6428,286.3415,9.0972
892.5000,0.3662,46.9268,0.0849,0.1980,0.7479,281.4393,8.2313
893.7500,0.4158,66.9419,0.0712,0.1783,0.6644,288.2612,8.7622
895.0000,0.3980,44.6882,0.0806,0.2219,0.7602,281.7094,8.0786
896.2500,0.3560,61.6426,0.0639,0.1871,0.6829,284.0207,8.7684
897.5000,0.3459,220.0343,0.0425,0.0774,0.4469,293.2075,11.4681
898.7500,0.3217,135.0769,0.0553,0.0934,0.5258,287.1374,10.5256
900.0000,0.3408,69.5249,0.0817,0.1340,0.6561,284.2182,9.0505
901.2500,0.5239,75.7370,0.0907,0.1488,0.6376,295.7935,8.7284
902.5000,0.4896,107.1788,0.0641,0.1495,0.5679,299.8985,9.4135
903.7500,0.4285,90.5106,0.0697,0.1429,0.6009,293.2004,9.2831
905.0000,0.4400,51.5538,0.0973,0.1827,0.7249,285.2417,8.2462
906.2500,0.4896,47.6657,0.0945,0.2224,0.7441,285.2051,8.0281
907.5000,0.4273,46.9607,0.0841,0.2350,0.7478,283.2790,8.1099
908.7500,0.3713,119.2586,0.0431,0.1504,0.5481,291.5827,10.0257
910.0000,0.4209,102.3909,0.0696,0.1216,0.5767,294.2434,9.5396
911.2500,0.4451,151.1525,0.0519,0.1170,0.5065,301.1104,10.1998
912.5000,0.4095,186.1536,0.0461,0.0964,0.4725,299.7810,10.7647
913.7500,0.3955,85.1710,0.0739,0.1309,0.6132,290.1095,9.2702
915.0000,0.4858,107.6487,0.0781,0.1178,0.5671,299.7034,9.4322
