distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
375.0000,8.3782,22.7275,0.5559,1.4546,0.9524,231.1448,6.1445
376.2500,8.4806,455.5407,0.0730,0.5131,0.3506,489.1301,6.4069
377.5000,9.0531,580.9536,0.0800,0.3936,0.3233,504.9755,6.3247
378.7500,10.4162,136.8370,0.2495,0.6157,0.5235,422.9857,6.1031
380.0000,11.2621,94.7210,0.3095,0.7631,0.5918,394.3915,6.0403
381.2500,7.0501,13.5574,1.5567,0.7840,1.1314,160.6023,6.1038
382.5000,5.7664,71.4387,0.1857,0.8858,0.6502,351.4911,6.5166
383.7500,6.5558,151.8691,0.1481,0.5666,0.5057,412.0181,6.5771
385.0000,6.7645,110.6249,0.1580,0.8040,0.5620,390.6892,6.4837
386.2500,7.5391,117.9651,0.1840,0.6850,0.5501,399.3543,6.3947
387.5000,8.4456,105.9751,0.2919,0.5490,0.5701,394.8497,6.2806
388.7500,8.9076,192.7823,0.1518,0.6113,0.4670,441.4603,6.2761
390.0000,9.5609,187.8528,0.3655,0.2817,0.4711,442.9124,6.1968
391.2500,11.6096,145.3220,0.2440,0.6671,0.5131,432.0750,5.9991
392.5000,10.8041,57.4622,0.4695,0.8263,0.6991,343.9446,6.0787
393.7500,10.0377,410.4595,0.1343,0.3648,0.3630,493.6738,6.1584
395.0000,10.3960,154.8107,0.1479,0.8927,0.5024,432.4812,6.1054
396.2500,10.6223,173.6208,0.1918,0.6316,0.4836,441.9735,6.0835
397.5000,11.5423,328.8870,0.1217,0.5688,0.3908,488.8686,5.9736
398.7500,10.8648,52.6786,0.3848,1.0459,0.7197,334.6116,6.0766
400.0000,7.5471,33.0698,0.4931,1.0234,0.8405,278.9230,6.2174
401.2500,7.8367,204.7429,0.2737,0.2905,0.4577,439.4729,6.4276
402.5000,10.4230,40.4141,0.3944,1.3141,0.7861,303.8037,6.0986
403.7500,13.8362,24.7074,0.4437,2.4679,0.9263,237.4346,6.0279
405.0000,15.4135,130.1660,0.1597,1.4782,0.5323,433.8771,5.7515
406.2500,14.2188,84.7471,0.5570,0.6234,0.6142,390.5724,5.8744
407.5000,16.7107,43.6890,0.6748,1.0694,0.7660,317.5180,5.8813
408.7500,18.7918,49.6538,1.3861,0.6042,0.7340,335.4582,5.8003
410.0000,26.4399,95.8822,2.1876,0.2525,0.5894,422.0111,5.4061
