# Exported by snowmicropyn 1.2.1 (git hash 25c665906cd9d26085fa9eab6ba842a7f4b41101)
distance [mm],force [N]
1.5661,0.1105
1.5702,0.1078
1.5744,0.1118
1.5785,0.1118
1.5826,0.1091
1.5868,0.1118
1.5909,0.1131
1.5950,0.1105
1.5992,0.1131
1.6033,0.1105
1.6074,0.1078
1.6116,0.1131
1.6157,0.1131
1.6198,0.1078
1.6240,0.1105
1.6281,0.1105
1.6322,0.1118
1.6364,0.1131
1.6405,0.1091
1.6446,0.1105
1.6488,0.1091
1.6529,0.1078
1.6570,0.1078
1.6612,0.1105
1.6653,0.1118
1.6694,0.1091
1.6736,0.1105
1.6777,0.1118
1.6818,0.1105
1.6860,0.1131
1.6901,0.1118
1.6942,0.1118
1.6983,0.1145
1.7025,0.1131
1.7066,0.1118
1.7107,0.1118
1.7149,0.1118
1.7190,0.1105
1.7231,0.1091
1.7273,0.1118
1.7314,0.1078
1.7355,0.1145
1.7397,0.1078
1.7438,0.1064
1.7479,0.1145
1.7521,0.1091
1.7562,0.1091
1.7603,0.1131
1.7645,0.1118
1.7686,0.1105
1.7727,0.1105
1.7769,0.1105
1.7810,0.1118
1.7851,0.1105
1.7893,0.1131
1.7934,0.1091
1.7975,0.1105
1.8017,0.1118
1.8058,0.1105
1.8099,0.1118
1.8140,0.1091
1.8182,0.1118
1.8223,0.1105
1.8264,0.1078
1.8306,0.1145
1.8347,0.1091
1.8388,0.1078
1.8430,0.1105
1.8471,0.1105
1.8512,0.1078
1.8554,0.1131
1.8595,0.1118
1.8636,0.1105
1.8678,0.1118
1.8719,0.1131
1.8760,0.1105
1.8802,0.1105
1.8843,0.1105
1.8884,0.1091
1.8926,0.1131
1.8967,0.1145
1.9008,0.1105
1.9050,0.1118
1.9091,0.1118
1.9132,0.1091
1.9174,0.1105
1.9215,0.1091
1.9256,0.1118
1.9298,0.1091
1.9339,0.1118
1.9380,0.1118
1.9421,0.1091
1.9463,0.1118
1.9504,0.1091
1.9545,0.1105
1.9587,0.1091
1.9628,0.1105
1.9669,0.1145
1.9711,0.1091
1.9752,0.1118
1.9793,0.1105
1.9835,0.1091
1.9876,0.1145
1.9917,0.1105
1.9959,0.1105
2.0000,0.1131
2.0041,0.1118
2.0083,0.1118
2.0124,0.1105
2.0165,0.1105
2.0207,0.1078
2.0248,0.1105
2.0289,0.1091
2.0331,0.1118
2.0372,0.1064
2.0413,0.1118
2.0455,0.1118
2.0496,0.1105
2.0537,0.1105
2.0579,0.1091
2.0620,0.1105
2.0661,0.1131
2.0702,0.1145
2.0744,0.1091
2.0785,0.1145
2.0826,0.1105
2.0868,0.1118
2.0909,0.1105
2.0950,0.1078
2.0992,0.1118
2.1033,0.1105
2.1074,0.1105
2.1116,0.1118
2.1157,0.1064
2.1198,0.1091
2.1240,0.1105
2.1281,0.1131
2.1322,0.1091
2.1364,0.1105
2.1405,0.1105
2.1446,0.1091
2.1488,0.1131
2.1529,0.1105
2.1570,0.1078
2.1612,0.1078
2.1653,0.1078
2.1694,0.1118
2.1736,0.1091
2.1777,0.1078
2.1818,0.1105
2.1860,0.1118
2.1901,0.1118
2.1942,0.1131
2.1983,0.1078
2.2025,0.1091
2.2066,0.1118
2.2107,0.1118
2.2149,0.1145
2.2190,0.1118
2.2231,0.1105
2.2273,0.1118
2.2314,0.1131
2.2355,0.1105
2.2397,0.1105
2.2438,0.1118
2.2479,0.1118
2.2521,0.1118
2.2562,0.1105
2.2603,0.1091
2.2645,0.1078
2.2686,0.1091
2.2727,0.1105
2.2769,0.1091
2.2810,0.1118
2.2851,0.1078
2.2893,0.1105
2.2934,0.1145
2.2975,0.1078
2.3017,0.1105
2.3058,0.1118
2.3099,0.1091
2.3140,0.1105
2.3182,0.1131
2.3223,0.1091
2.3264,0.1105
2.3306,0.1118
2.3347,0.1091
2.3388,0.1105
2.3430,0.1105
2.3471,0.1078
2.3512,0.1105
2.3554,0.1105
2.3595,0.1078
2.3636,0.1105
2.3678,0.1118
2.3719,0.1091
2.3760,0.1131
2.3802,0.1118
2.3843,0.1091
2.3884,0.1105
2.3926,0.1105
2.3967,0.1118
2.4008,0.1105
2.4050,0.1091
2.4091,0.1105
2.4132,0.1105
2.4174,0.1118
2.4215,0.1105
2.4256,0.1105
2.4298,0.1131
2.4339,0.1118
2.4380,0.1131
2.4421,0.1131
2.4463,0.1078
2.4504,0.1118
2.4545,0.1118
2.4587,0.1091
2.4628,0.1091
2.4669,0.1091
2.4711,0.1091
2.4752,0.1091
2.4793,0.1091
2.4835,0.1118
2.4876,0.1078
2.4917,0.1091
2.4959,0.1091
2.5000,0.1091
2.5041,0.1118
2.5083,0.1091
2.5124,0.1105
2.5165,0.1105
2.5207,0.1105
2.5248,0.1131
2.5289,0.1131
2.5331,0.1131
2.5372,0.1118
2.5413,0.1105
2.5455,0.1118
2.5496,0.1145
2.5537,0.1145
2.5579,0.1118
2.5620,0.1105
2.5661,0.1091
2.5702,0.1118
2.5744,0.1118
2.5785,0.1091
2.5826,0.1091
2.5868,0.1091
2.5909,0.1105
2.5950,0.1105
2.5992,0.1105
2.6033,0.1105
2.6074,0.1078
2.6116,0.1131
2.6157,0.1105
2.6198,0.1118
2.6240,0.1091
2.6281,0.1091
2.6322,0.1105
2.6364,0.1091
2.6405,0.1105
2.6446,0.1105
2.6488,0.1118
2.6529,0.1078
